2026-08-29T07:36:29.492Z,2, 64832, 275040, 0, 194.58, 37;3, 64832, 275040, 0, 208.52, 46
2026-08-29T07:36:30.569Z,2, 64832, 275040, 0, 194.51, 37;3, 64832, 275040, 0, 208.50, 46
2026-08-29T07:36:31.639Z,2, 64832, 275040, 0, 194.47, 37;3, 64832, 275040, 0, 208.56, 46
2026-08-29T07:36:32.748Z,2, 64832, 275040, 0, 194.58, 37;3, 64832, 275040, 0, 208.47, 46
2026-08-29T07:36:33.824Z,2, 64832, 275040, 0, 194.66, 37;3, 64832, 275040, 0, 208.39, 46
2026-08-29T07:36:34.902Z,2, 64832, 275040, 0, 194.47, 37;3, 64832, 275040, 0, 208.32, 46
2026-08-29T07:36:36.002Z,2, 64832, 275040, 0, 194.43, 37;3, 64832, 275040, 0, 208.68, 46
2026-08-29T07:36:37.079Z,2, 64984, 275040, 1, 194.47, 37;3, 65314, 275040, 2, 207.93, 46
2026-08-29T07:36:38.185Z,2, 66106, 275040, 2, 194.85, 37;3, 66490, 275040, 1, 208.58, 46
2026-08-29T07:36:39.361Z,2, 66504, 275040, 1, 194.66, 37;3, 67000, 275040, 1, 208.52, 46
2026-08-29T07:36:40.847Z,2, 68026, 275040, 4, 194.77, 37;3, 68042, 275040, 4, 208.44, 46
2026-08-29T07:36:41.979Z,2, 69306, 275040, 4, 194.70, 37;3, 69706, 275040, 3, 208.51, 46
2026-08-29T07:36:43.096Z,2, 70602, 275040, 1, 194.54, 37;3, 71612, 275040, 4, 208.72, 46
2026-08-29T07:36:44.194Z,2, 72124, 275040, 3, 194.93, 37;3, 73100, 275040, 3, 208.64, 46
2026-08-29T07:36:45.310Z,2, 73916, 275040, 5, 194.74, 37;3, 74148, 275040, 0, 208.29, 46
2026-08-29T07:36:46.412Z,2, 74236, 275040, 0, 195.42, 37;3, 74236, 275040, 0, 210.29, 46
2026-08-29T07:36:47.598Z,2, 74236, 275040, 0, 194.50, 37;3, 74236, 275040, 0, 208.66, 46
2026-08-29T07:36:48.667Z,2, 74236, 275040, 0, 194.55, 37;3, 74236, 275040, 0, 208.32, 46
2026-08-29T07:36:49.756Z,2, 74236, 275040, 0, 194.66, 37;3, 74236, 275040, 0, 208.35, 46
2026-08-29T07:36:50.838Z,2, 74236, 275040, 0, 194.51, 37;3, 74236, 275040, 0, 208.43, 46
2026-08-29T07:36:51.943Z,2, 74236, 275040, 0, 194.43, 37;3, 74236, 275040, 0, 208.70, 46
2026-08-29T07:36:53.043Z,2, 74236, 275040, 0, 194.47, 37;3, 74236, 275040, 0, 208.37, 46
2026-08-29T07:36:54.151Z,2, 74236, 275040, 0, 194.58, 37;3, 74236, 275040, 0, 208.28, 46
2026-08-29T07:36:55.268Z,2, 74236, 275040, 0, 194.43, 37;3, 74236, 275040, 0, 208.64, 46
2026-08-29T07:36:56.405Z,2, 74236, 275040, 0, 194.43, 37;3, 74236, 275040, 0, 208.21, 46
2026-08-29T07:36:57.513Z,2, 74236, 275040, 0, 194.55, 37;3, 74236, 275040, 0, 208.73, 46
2026-08-29T07:36:58.911Z,2, 74236, 275040, 0, 194.59, 37;3, 74236, 275040, 0, 208.68, 46
2026-08-29T07:37:00.003Z,2, 74236, 275040, 0, 194.43, 37;3, 74236, 275040, 0, 208.44, 46
2026-08-29T07:37:01.134Z,2, 74964, 275040, 0, 194.97, 37;3, 74236, 275040, 0, 208.36, 46
2026-08-29T07:37:02.209Z,2, 138436, 275040, 0, 194.51, 37;3, 74236, 275040, 0, 208.25, 46
2026-08-29T07:37:03.284Z,2, 187596, 275040, 0, 194.88, 37;3, 74236, 275040, 0, 208.49, 46
2026-08-29T07:37:04.408Z,2, 187596, 275040, 0, 194.55, 37;3, 74236, 275040, 0, 208.21, 46
2026-08-29T07:37:05.492Z,2, 187596, 275040, 0, 194.43, 37;3, 74236, 275040, 0, 208.48, 46
2026-08-29T07:37:06.571Z,2, 187596, 275040, 0, 194.43, 37;3, 74236, 275040, 0, 208.35, 46
2026-08-29T07:37:07.656Z,2, 187596, 275040, 0, 194.35, 37;3, 74236, 275040, 0, 208.52, 46
2026-08-29T07:37:08.745Z,2, 187596, 275040, 0, 194.55, 37;3, 74236, 275040, 0, 208.10, 46
2026-08-29T07:37:09.858Z,2, 187596, 275040, 0, 194.43, 37;3, 74236, 275040, 0, 208.28, 46
2026-08-29T07:37:10.932Z,2, 187596, 275040, 0, 194.32, 37;3, 74236, 275040, 0, 208.36, 46
2026-08-29T07:37:12.006Z,2, 187596, 275040, 0, 194.43, 37;3, 74236, 275040, 0, 208.25, 46
2026-08-29T07:37:13.087Z,2, 187596, 275040, 0, 194.32, 37;3, 74236, 275040, 0, 208.41, 46
2026-08-29T07:37:14.163Z,2, 187596, 275040, 0, 194.47, 37;3, 74236, 275040, 0, 208.54, 46
2026-08-29T07:37:15.279Z,2, 187596, 275040, 0, 194.39, 37;3, 74236, 275040, 0, 208.54, 46
2026-08-29T07:37:16.403Z,2, 187596, 275040, 0, 194.35, 37;3, 74236, 275040, 0, 208.16, 46
2026-08-29T07:37:17.492Z,2, 187596, 275040, 0, 194.39, 37;3, 74236, 275040, 0, 208.16, 46
2026-08-29T07:37:18.657Z,2, 187596, 275040, 0, 194.51, 37;3, 74236, 275040, 0, 208.54, 46
2026-08-29T07:37:19.733Z,2, 187596, 275040, 0, 194.32, 37;3, 74236, 275040, 0, 208.20, 46
2026-08-29T07:37:20.806Z,2, 187596, 275040, 0, 194.39, 37;3, 74236, 275040, 0, 208.68, 46
2026-08-29T07:37:21.915Z,2, 187596, 275040, 0, 194.43, 37;3, 74238, 275040, 0, 208.10, 46
2026-08-29T07:37:22.990Z,2, 187600, 275040, 0, 194.43, 37;3, 74244, 275040, 1, 208.43, 46
2026-08-29T07:37:24.083Z,2, 187604, 275040, 0, 194.55, 37;3, 74244, 275040, 0, 207.86, 46
2026-08-29T07:37:25.185Z,2, 187604, 275040, 0, 194.55, 37;3, 74250, 275040, 0, 208.13, 46
2026-08-29T07:37:26.428Z,2, 187610, 275040, 0, 194.43, 37;3, 74252, 275040, 0, 207.71, 46
2026-08-29T07:37:27.691Z,2, 187848, 275040, 1, 194.43, 37;3, 74258, 275040, 0, 207.82, 46
2026-08-29T07:37:28.810Z,2, 190044, 275040, 1, 194.98, 37;3, 74258, 275040, 0, 208.44, 46
2026-08-29T07:37:29.977Z,2, 194280, 275040, 21, 198.32, 37;3, 76318, 275040, 9, 215.28, 46
2026-08-29T07:37:31.259Z,2, 198734, 275040, 6, 201.24, 37;3, 77312, 275040, 2, 213.70, 46
2026-08-29T07:37:32.373Z,2, 200704, 275040, 11, 202.38, 37;3, 77312, 275040, 6, 211.25, 46
2026-08-29T07:37:33.496Z,2, 200704, 275040, 2, 203.45, 37;3, 77312, 275040, 3, 211.99, 46
2026-08-29T07:37:34.623Z,2, 200704, 275040, 10, 206.78, 37;3, 77312, 275040, 1, 217.63, 46
2026-08-29T07:37:35.699Z,2, 200704, 275040, 13, 206.09, 37;3, 77312, 275040, 14, 216.62, 46
2026-08-29T07:37:36.856Z,2, 200704, 275040, 11, 205.62, 37;3, 77312, 275040, 10, 218.76, 46
2026-08-29T07:37:37.941Z,2, 200704, 275040, 12, 203.53, 37;3, 77312, 275040, 10, 217.67, 46
2026-08-29T07:37:39.211Z,2, 200704, 275040, 7, 207.61, 37;3, 77312, 275040, 18, 223.80, 46
2026-08-29T07:37:40.464Z,2, 200704, 275040, 5, 202.53, 37;3, 77312, 275040, 12, 217.28, 46
2026-08-29T07:37:41.564Z,2, 200704, 275040, 20, 209.10, 37;3, 77312, 275040, 8, 214.74, 46
2026-08-29T07:37:42.709Z,2, 200704, 275040, 14, 208.17, 37;3, 77312, 275040, 4, 223.75, 46
2026-08-29T07:37:43.875Z,2, 200704, 275040, 0, 209.76, 37;3, 77312, 275040, 16, 222.37, 46
2026-08-29T07:37:45.052Z,2, 200704, 275040, 19, 207.52, 37;3, 77312, 275040, 10, 221.29, 46
2026-08-29T07:37:46.179Z,2, 200704, 275040, 19, 208.66, 38;3, 77312, 275040, 12, 220.03, 46
2026-08-29T07:37:47.277Z,2, 200708, 275040, 0, 201.15, 37;3, 77312, 275040, 18, 222.52, 46
2026-08-29T07:37:48.411Z,2, 193938, 275040, 0, 194.80, 37;3, 77312, 275040, 0, 209.87, 46
2026-08-29T07:37:49.514Z,2, 194006, 275040, 12, 196.10, 37;3, 70518, 275040, 0, 209.34, 46
2026-08-29T07:37:50.605Z,2, 194006, 275040, 8, 195.76, 37;3, 70586, 275040, 0, 208.83, 46
2026-08-29T07:37:51.668Z,2, 194006, 275040, 21, 196.15, 37;3, 70586, 275040, 0, 208.31, 46
2026-08-29T07:37:52.735Z,2, 194006, 275040, 20, 196.03, 37;3, 70586, 275040, 0, 208.10, 46
2026-08-29T07:37:53.800Z,2, 194006, 275040, 12, 196.30, 37;3, 70586, 275040, 0, 207.90, 46
2026-08-29T07:37:54.893Z,2, 194006, 275040, 15, 196.22, 37;3, 70586, 275040, 0, 207.78, 46
2026-08-29T07:37:55.991Z,2, 194006, 275040, 9, 195.95, 37;3, 70586, 275040, 0, 207.82, 46
2026-08-29T07:37:57.080Z,2, 194006, 275040, 8, 196.03, 37;3, 70586, 275040, 0, 207.93, 46
2026-08-29T07:37:58.196Z,2, 194006, 275040, 4, 196.30, 37;3, 70586, 275040, 0, 207.86, 46
2026-08-29T07:37:59.263Z,2, 194006, 275040, 8, 195.99, 37;3, 70586, 275040, 0, 208.12, 46
2026-08-29T07:38:00.337Z,2, 194006, 275040, 24, 197.14, 37;3, 70586, 275040, 0, 208.12, 46
2026-08-29T07:38:01.402Z,2, 194006, 275040, 23, 197.18, 37;3, 70586, 275040, 0, 207.82, 46
2026-08-29T07:38:02.473Z,2, 194006, 275040, 20, 196.72, 37;3, 70586, 275040, 0, 207.67, 46
2026-08-29T07:38:03.608Z,2, 194006, 275040, 24, 197.13, 37;3, 70586, 275040, 0, 207.70, 46
2026-08-29T07:38:04.802Z,2, 194006, 275040, 23, 197.33, 37;3, 70586, 275040, 0, 207.71, 46
2026-08-29T07:38:05.930Z,2, 194006, 275040, 0, 194.74, 37;3, 70586, 275040, 0, 207.78, 46
