2026-08-29T07:26:35.859Z,2, 630, 275040, 0, 192.53, 33;3, 630, 275040, 0, 198.06, 35
2026-08-29T07:26:36.957Z,2, 630, 275040, 0, 192.60, 33;3, 630, 275040, 0, 198.17, 35
2026-08-29T07:26:38.056Z,2, 630, 275040, 0, 192.57, 33;3, 630, 275040, 0, 198.14, 35
2026-08-29T07:26:39.166Z,2, 630, 275040, 0, 192.57, 33;3, 630, 275040, 0, 198.06, 35
2026-08-29T07:26:40.242Z,2, 630, 275040, 0, 192.56, 33;3, 630, 275040, 0, 198.21, 35
2026-08-29T07:26:41.350Z,2, 630, 275040, 0, 192.49, 33;3, 630, 275040, 0, 198.06, 35
2026-08-29T07:26:42.430Z,2, 630, 275040, 0, 192.57, 33;3, 630, 275040, 0, 198.18, 35
2026-08-29T07:26:43.564Z,2, 630, 275040, 0, 192.64, 33;3, 630, 275040, 0, 198.10, 35
2026-08-29T07:26:44.656Z,2, 630, 275040, 0, 192.49, 33;3, 630, 275040, 0, 198.14, 35
2026-08-29T07:26:45.748Z,2, 630, 275040, 0, 192.60, 33;3, 630, 275040, 0, 198.25, 35
2026-08-29T07:26:46.835Z,2, 630, 275040, 0, 192.49, 33;3, 630, 275040, 0, 198.10, 35
2026-08-29T07:26:47.941Z,2, 630, 275040, 0, 192.49, 33;3, 630, 275040, 0, 198.14, 35
2026-08-29T07:26:49.043Z,2, 630, 275040, 0, 192.64, 33;3, 630, 275040, 0, 198.14, 35
2026-08-29T07:26:50.140Z,2, 630, 275040, 0, 192.57, 33;3, 630, 275040, 0, 198.21, 35
2026-08-29T07:26:51.240Z,2, 630, 275040, 0, 192.56, 33;3, 630, 275040, 0, 198.10, 35
2026-08-29T07:26:52.389Z,2, 630, 275040, 0, 192.53, 33;3, 630, 275040, 0, 198.17, 35
2026-08-29T07:26:53.461Z,2, 630, 275040, 0, 192.68, 33;3, 630, 275040, 0, 198.06, 35
2026-08-29T07:26:54.558Z,2, 630, 275040, 0, 192.49, 33;3, 630, 275040, 0, 198.10, 35
2026-08-29T07:26:55.654Z,2, 630, 275040, 0, 192.57, 33;3, 630, 275040, 0, 198.21, 35
2026-08-29T07:26:56.732Z,2, 630, 275040, 0, 192.49, 33;3, 630, 275040, 0, 198.21, 35
2026-08-29T07:26:57.841Z,2, 630, 275040, 0, 192.60, 33;3, 630, 275040, 0, 198.22, 35
2026-08-29T07:26:58.935Z,2, 630, 275040, 0, 192.60, 33;3, 630, 275040, 0, 198.06, 35
2026-08-29T07:27:00.018Z,2, 1358, 275040, 0, 192.83, 33;3, 630, 275040, 0, 198.21, 35
2026-08-29T07:27:01.120Z,2, 64830, 275040, 0, 192.21, 33;3, 630, 275040, 0, 198.17, 35
2026-08-29T07:27:02.207Z,2, 113988, 275040, 0, 192.75, 33;3, 630, 275040, 0, 198.10, 35
2026-08-29T07:27:03.333Z,2, 113988, 275040, 0, 192.56, 33;3, 630, 275040, 0, 198.14, 35
2026-08-29T07:27:04.417Z,2, 113988, 275040, 0, 192.45, 33;3, 630, 275040, 0, 198.06, 35
