2026-08-29T07:53:30.157Z,2, 74236, 275040, 0, 194.20, 36;3, 74236, 275040, 0, 205.12, 43
2026-08-29T07:53:31.242Z,2, 74236, 275040, 0, 194.20, 36;3, 74236, 275040, 0, 205.22, 43
2026-08-29T07:53:32.327Z,2, 74236, 275040, 0, 194.20, 36;3, 74236, 275040, 0, 205.24, 43
2026-08-29T07:53:33.480Z,2, 74236, 275040, 0, 194.32, 36;3, 74236, 275040, 0, 205.20, 43
2026-08-29T07:53:34.625Z,2, 74236, 275040, 0, 194.35, 36;3, 74236, 275040, 0, 205.08, 43
2026-08-29T07:53:35.801Z,2, 74236, 275040, 0, 194.39, 36;3, 74236, 275040, 0, 205.38, 43
2026-08-29T07:53:36.897Z,2, 74236, 275040, 0, 194.13, 36;3, 74236, 275040, 0, 205.31, 43
2026-08-29T07:53:37.997Z,2, 74236, 275040, 0, 194.36, 36;3, 74236, 275040, 0, 205.23, 43
2026-08-29T07:53:39.193Z,2, 74236, 275040, 0, 194.35, 36;3, 74236, 275040, 0, 205.50, 43
2026-08-29T07:53:40.377Z,2, 74236, 275040, 0, 194.39, 36;3, 74236, 275040, 0, 205.77, 43
2026-08-29T07:53:41.507Z,2, 74236, 275040, 0, 194.35, 36;3, 74236, 275040, 0, 205.46, 43
2026-08-29T07:53:42.672Z,2, 74236, 275040, 0, 194.28, 36;3, 74236, 275040, 0, 205.38, 43
2026-08-29T07:53:43.791Z,2, 74236, 275040, 0, 194.35, 36;3, 74236, 275040, 0, 205.54, 43
2026-08-29T07:53:45.079Z,2, 74236, 275040, 0, 194.32, 36;3, 74236, 275040, 0, 205.61, 43
2026-08-29T07:53:46.173Z,2, 74236, 275040, 0, 194.20, 36;3, 74236, 275040, 0, 205.50, 43
2026-08-29T07:53:47.312Z,2, 74236, 275040, 0, 194.32, 36;3, 74236, 275040, 0, 205.65, 43
2026-08-29T07:53:48.411Z,2, 74236, 275040, 0, 194.24, 36;3, 74236, 275040, 0, 205.57, 43
2026-08-29T07:53:49.526Z,2, 74236, 275040, 0, 194.39, 36;3, 74236, 275040, 0, 205.65, 43
2026-08-29T07:53:50.666Z,2, 74236, 275040, 0, 194.43, 36;3, 74236, 275040, 0, 205.61, 43
2026-08-29T07:53:51.827Z,2, 74236, 275040, 0, 194.28, 36;3, 74236, 275040, 0, 205.50, 43
2026-08-29T07:53:53.002Z,2, 74236, 275040, 0, 194.16, 36;3, 74236, 275040, 0, 205.61, 43
2026-08-29T07:53:54.108Z,2, 74236, 275040, 0, 194.47, 36;3, 74236, 275040, 0, 205.65, 43
2026-08-29T07:53:55.269Z,2, 74236, 275040, 0, 194.47, 36;3, 74236, 275040, 0, 205.73, 43
2026-08-29T07:53:56.515Z,2, 74236, 275040, 0, 194.39, 36;3, 74236, 275040, 0, 205.69, 43
2026-08-29T07:53:57.660Z,2, 74236, 275040, 0, 194.28, 36;3, 74236, 275040, 0, 205.69, 43
2026-08-29T07:53:58.754Z,2, 74236, 275040, 0, 194.32, 36;3, 74236, 275040, 0, 205.65, 43
2026-08-29T07:53:59.941Z,2, 74236, 275040, 0, 194.39, 36;3, 74236, 275040, 0, 205.77, 43
2026-08-29T07:54:01.053Z,2, 74236, 275040, 0, 194.35, 36;3, 74236, 275040, 0, 205.81, 43
2026-08-29T07:54:02.393Z,2, 74236, 275040, 0, 194.39, 36;3, 74236, 275040, 0, 205.69, 43
2026-08-29T07:54:03.515Z,2, 74236, 275040, 0, 194.39, 36;3, 74236, 275040, 0, 205.69, 43
2026-08-29T07:54:04.596Z,2, 74236, 275040, 0, 194.47, 36;3, 74236, 275040, 0, 205.69, 43
2026-08-29T07:54:05.693Z,2, 74236, 275040, 0, 194.35, 36;3, 74236, 275040, 0, 205.80, 43
2026-08-29T07:54:06.765Z,2, 74236, 275040, 0, 194.35, 36;3, 74236, 275040, 0, 205.61, 43
2026-08-29T07:54:07.856Z,2, 74236, 275040, 0, 194.51, 36;3, 74236, 275040, 0, 205.77, 43
2026-08-29T07:54:08.935Z,2, 74236, 275040, 0, 194.55, 36;3, 74236, 275040, 0, 205.69, 44
2026-08-29T07:54:10.013Z,2, 74259, 275040, 0, 194.43, 36;3, 74236, 275040, 0, 205.69, 44
2026-08-29T07:54:11.131Z,2, 74964, 275040, 0, 194.59, 36;3, 74236, 275040, 0, 205.81, 44
2026-08-29T07:54:12.246Z,2, 134968, 275040, 1, 194.43, 36;3, 74236, 275040, 0, 205.69, 44
2026-08-29T07:54:13.393Z,2, 138436, 275040, 0, 194.39, 36;3, 74236, 275040, 0, 205.69, 44
2026-08-29T07:54:14.495Z,2, 187596, 275040, 0, 194.62, 36;3, 74236, 275040, 0, 205.77, 44
2026-08-29T07:54:15.588Z,2, 187600, 275040, 0, 194.35, 36;3, 74236, 275040, 0, 205.80, 44
2026-08-29T07:54:16.705Z,2, 187604, 275040, 2, 194.39, 36;3, 74236, 275040, 0, 205.73, 44
2026-08-29T07:54:17.829Z,2, 187604, 275040, 0, 194.32, 36;3, 74240, 275040, 0, 205.69, 44
