2026-08-29T06:02:23.122Z,2, 0, 275040, 0, 133.42, 34;3, 0, 275040, 0, 143.99, 41
2026-08-29T06:02:24.208Z,2, 0, 275040, 0, 133.77, 34;3, 0, 275040, 0, 143.88, 41
2026-08-29T06:02:25.354Z,2, 0, 275040, 0, 133.62, 34;3, 0, 275040, 0, 143.88, 41
2026-08-29T06:02:26.465Z,2, 0, 275040, 0, 133.64, 34;3, 0, 275040, 0, 143.84, 41
2026-08-29T06:02:27.572Z,2, 0, 275040, 0, 133.54, 34;3, 0, 275040, 0, 143.84, 41
2026-08-29T06:02:28.728Z,2, 0, 275040, 0, 133.58, 34;3, 0, 275040, 0, 143.99, 41
2026-08-29T06:02:29.857Z,2, 4, 275040, 0, 134.42, 34;3, 1, 275040, 0, 143.88, 41
2026-08-29T06:02:31.747Z,2, 4, 275040, 0, 134.42, 34;3, 4, 275040, 0, 143.88, 41
2026-08-29T06:02:32.841Z,2, 4, 275040, 0, 133.58, 34;3, 4, 275040, 0, 143.99, 41
2026-08-29T06:02:33.942Z,2, 4, 275040, 0, 133.72, 34;3, 4, 275040, 0, 143.88, 41
2026-08-29T06:02:35.073Z,2, 4, 275040, 0, 133.50, 34;3, 4, 275040, 0, 143.88, 41
2026-08-29T06:02:36.159Z,2, 4, 275040, 0, 133.66, 34;3, 4, 275040, 0, 143.88, 41
2026-08-29T06:02:37.244Z,2, 4, 275040, 0, 133.92, 34;3, 4, 275040, 0, 143.88, 41
2026-08-29T06:02:38.334Z,2, 4, 275040, 0, 133.52, 34;3, 4, 275040, 0, 143.99, 41
2026-08-29T06:02:39.421Z,2, 4, 275040, 0, 133.76, 34;3, 4, 275040, 0, 143.80, 41
2026-08-29T06:02:40.653Z,2, 4, 275040, 0, 133.60, 34;3, 4, 275040, 0, 143.80, 41
2026-08-29T06:02:41.779Z,2, 4, 275040, 0, 133.77, 34;3, 4, 275040, 0, 143.88, 41
2026-08-29T06:02:43.048Z,2, 4, 275040, 0, 133.79, 34;3, 4, 275040, 0, 143.96, 41
2026-08-29T06:02:44.167Z,2, 4, 275040, 0, 133.73, 34;3, 4, 275040, 0, 143.88, 41
2026-08-29T06:02:45.267Z,2, 4, 275040, 0, 133.54, 34;3, 4, 275040, 0, 143.88, 41
2026-08-29T06:02:46.438Z,2, 4, 275040, 0, 133.63, 34;3, 4, 275040, 0, 143.84, 41
