2026-08-29T08:48:10.662Z,4, 4, 275040, 0, 135.84, 34;5, 4, 275040, 0, 136.20, 41
2026-08-29T08:48:11.751Z,4, 4, 275040, 0, 135.99, 34;5, 4, 275040, 0, 136.25, 41
2026-08-29T08:48:12.839Z,4, 4, 275040, 0, 135.87, 34;5, 4, 275040, 0, 136.12, 41
2026-08-29T08:48:13.967Z,4, 4, 275040, 0, 135.75, 34;5, 4, 275040, 0, 136.12, 41
2026-08-29T08:48:15.075Z,4, 4, 275040, 0, 135.91, 34;5, 4, 275040, 0, 136.17, 41
2026-08-29T08:48:16.167Z,4, 4, 275040, 0, 135.91, 34;5, 4, 275040, 0, 136.13, 41
2026-08-29T08:48:17.276Z,4, 4, 275040, 0, 135.87, 34;5, 4, 275040, 0, 136.26, 41
2026-08-29T08:48:18.460Z,4, 4, 275040, 0, 135.87, 34;5, 4, 275040, 0, 136.13, 41
2026-08-29T08:48:19.620Z,4, 4, 275040, 0, 135.87, 34;5, 4, 275040, 0, 136.11, 41
2026-08-29T08:48:20.843Z,4, 4, 275040, 0, 136.02, 34;5, 4, 275040, 0, 136.12, 41
2026-08-29T08:48:21.949Z,4, 4, 275040, 0, 135.91, 34;5, 4, 275040, 0, 136.29, 41
2026-08-29T08:48:23.034Z,4, 4, 275040, 0, 136.06, 34;5, 4, 275040, 0, 136.13, 41
2026-08-29T08:48:24.151Z,4, 4, 275040, 0, 135.87, 34;5, 4, 275040, 0, 136.12, 41
2026-08-29T08:48:25.235Z,4, 4, 275040, 0, 135.95, 34;5, 4, 275040, 0, 136.21, 41
2026-08-29T08:48:26.512Z,4, 4, 275040, 0, 135.91, 34;5, 4, 275040, 0, 136.13, 41
2026-08-29T08:48:27.642Z,4, 4, 275040, 0, 135.76, 34;5, 4, 275040, 0, 136.14, 41
2026-08-29T08:48:28.794Z,4, 4, 275040, 0, 135.99, 34;5, 4, 275040, 0, 136.11, 41
2026-08-29T08:48:29.883Z,4, 4, 275040, 0, 135.87, 34;5, 4, 275040, 0, 136.13, 41
2026-08-29T08:48:31.011Z,4, 4, 275040, 0, 135.95, 34;5, 4, 275040, 0, 136.16, 41
2026-08-29T08:48:32.096Z,4, 4, 275040, 0, 135.87, 34;5, 4, 275040, 0, 136.25, 41
2026-08-29T08:48:33.221Z,4, 4, 275040, 0, 135.95, 34;5, 4, 275040, 0, 136.13, 41
2026-08-29T08:48:34.348Z,4, 4, 275040, 0, 135.95, 34;5, 4, 275040, 0, 136.14, 41
2026-08-29T08:48:35.469Z,4, 4, 275040, 0, 135.99, 34;5, 4, 275040, 0, 136.18, 41
2026-08-29T08:48:36.599Z,4, 732, 275040, 0, 195.23, 35;5, 4, 275040, 0, 136.38, 41
2026-08-29T08:48:37.705Z,4, 113362, 275040, 0, 195.02, 35;5, 4, 275040, 0, 136.13, 41
2026-08-29T08:48:38.818Z,4, 113362, 275040, 0, 194.89, 35;5, 4, 275040, 0, 136.15, 41
2026-08-29T08:48:39.964Z,4, 113362, 275040, 0, 194.93, 35;5, 4, 275040, 0, 136.17, 41
2026-08-29T08:48:41.082Z,4, 113362, 275040, 0, 194.84, 36;5, 4, 275040, 0, 136.35, 41
2026-08-29T08:48:43.647Z,4, 113362, 275040, 0, 194.83, 36;5, 4, 275040, 0, 136.24, 41
2026-08-29T08:48:45.535Z,4, 113362, 275040, 0, 194.95, 36;5, 4, 275040, 0, 136.14, 41
2026-08-29T08:48:46.655Z,4, 113362, 275040, 0, 194.87, 36;5, 4, 275040, 0, 136.26, 41
2026-08-29T08:48:47.749Z,4, 113362, 275040, 0, 195.10, 36;5, 4, 275040, 0, 136.14, 41
2026-08-29T08:48:48.843Z,4, 113362, 275040, 0, 195.00, 36;5, 4, 275040, 0, 136.16, 41
