physical_gpu,rank,bin_start_s,bin_end_s,mean_sm_active_percent,mean_gpc_clock_mhz
0,0,0.0,0.1,20.814432989690722,2532.4707311237116
0,0,0.1,0.2,0.013513513513513514,2393.173899621622
0,0,0.2,0.3,50.48888888888889,2378.560983388889
0,0,0.3,0.4,89.86,2300.156412
0,0,0.4,0.5,88.41,2230.750031
0,0,0.5,0.6,91.76,2200.034056
0,0,0.6,0.7,88.86,2206.1877360000003
0,0,0.7,0.8,89.95,2185.755074
0,0,0.8,0.9,89.65,2203.0770669999997
0,0,0.9,1.0,88.79,2209.728708
0,0,1.0,1.1,88.77,2208.3736919999997
0,0,1.1,1.2,89.08,2210.9863669999995
0,0,1.2,1.3,91.71,2181.926283
0,0,1.3,1.4,88.35,2201.5446020000004
0,0,1.4,1.5,89.65,2173.698839
0,0,1.5,1.6,89.37,2209.9034389999997
0,0,1.6,1.7,88.72,2202.752643
0,0,1.7,1.8,88.78,2203.154846
0,0,1.8,1.9,90.73,2189.617871
0,0,1.9,2.0,90.2,2174.9044850000005
0,0,2.0,2.1,88.83,2178.0626599999996
0,0,2.1,2.2,90.69,2171.505085
0,0,2.2,2.3,88.72,2202.367552
0,0,2.3,2.4,88.92,2189.3478219999997
0,0,2.4,2.5,89.39,2196.576762
0,0,2.5,2.6,91.76,2165.454082
0,0,2.6,2.7,88.51,2191.218499
0,0,2.7,2.8,91.2,2152.44473
0,0,2.8,2.9,89.1,2206.803766
0,0,2.9,3.0,84.64,2242.236536
0,0,3.0,3.1,91.32,2205.108531
0,0,3.1,3.2,88.63,2201.796333
0,0,3.2,3.3,90.02,2172.126426
0,0,3.3,3.4,89.52,2208.3052949999997
0,0,3.4,3.5,88.75,2204.347332
0,0,3.5,3.6,88.93,2202.158018
0,0,3.6,3.7,90.16,2192.459651
0,0,3.7,3.8,91.02,2178.250066
0,0,3.8,3.9,88.57,2194.30892
0,0,3.9,4.0,90.68,2171.2161429999996
0,0,4.0,4.1,88.54,2209.6641260000006
0,0,4.1,4.2,88.86,2193.043852
0,0,4.2,4.3,88.91,2205.663861
0,0,4.3,4.4,92.03,2166.9577730000005
0,0,4.4,4.5,88.82,2184.4578399999996
0,0,4.5,4.6,90.07,2165.366811
0,0,4.6,4.7,89.56,2187.7898219999993
0,0,4.7,4.8,88.75,2191.995246
0,0,4.8,4.9,88.75,2192.0976990000004
0,0,4.9,5.0,90.41,2185.895082
0,0,5.0,5.1,90.41,2164.910844
0,0,5.1,5.2,88.64,2175.6434040000004
0,0,5.2,5.3,90.95,2166.067672
0,0,5.3,5.4,88.61,2203.739541
0,0,5.4,5.5,89.16,2187.913922
0,0,5.5,5.6,88.91,2196.919736
0,0,5.6,5.7,87.94,2185.019014
0,0,5.7,5.8,89.81,2214.352639
0,0,5.8,5.9,88.56,2217.322409
0,0,5.9,6.0,88.96,2199.4555440000004
0,0,6.0,6.1,88.66,2212.542336
0,0,6.1,6.2,92.0,2175.1454390000004
0,0,6.2,6.3,83.28,2228.197797
0,0,6.3,6.4,90.96,2181.5718770000003
0,0,6.4,6.5,88.66,2212.4451620000004
0,0,6.5,6.6,88.94,2193.279305
0,0,6.6,6.7,88.76,2208.4812890000003
0,0,6.7,6.8,92.17,2166.7932819999996
0,0,6.8,6.9,88.86,2182.8061310000003
0,0,6.9,7.0,89.99,2167.114616
0,0,7.0,7.1,89.48,2186.199564
0,0,7.1,7.2,88.89,2192.3992070000004
0,0,7.2,7.3,88.98,2191.01664
0,0,7.3,7.4,90.74,2176.6860149999998
0,0,7.4,7.5,90.91,2156.2548229999998
0,0,7.5,7.6,88.97,2173.1339980000002
0,0,7.6,7.7,90.93,2158.924416
0,0,7.7,7.8,89.04,2193.398748
0,0,7.8,7.9,89.23,2177.8956949999997
0,0,7.9,8.0,89.15,2189.050394
0,0,8.0,8.1,92.44,2155.738175
0,0,8.1,8.2,88.78,2182.1779579999998
0,0,8.2,8.3,91.11,2142.128779
