GPU Model,Node / Cluster,GPU Count,Workload,Precision,Parallelism,Offload,Denoise Steps,E2E (s),Text Encode (s),Visual Encode (s),Audio Encode (s),Latent (s),Denoise (s),VAE Decode (s),Per Step (ms),Peak Memory (GiB),Peak Memory Scope,SM Clock (MHz),Status,Notes
NVIDIA B300 SXM6 AC,"8x NVIDIA B300 SXM6 AC (sm103, NVLink)",1,t2va,BF16,TP1 x Ulysses1,none,50,140.22,0.02,n/a,n/a,n/a,133.99,4.82,2734,157.24,per-GPU max (external nvidia-smi),2032,Passed,FL2VA; requested 50 / executed 49 denoise updates; dense BF16 TRTLLM_ATTN; resident
NVIDIA B300 SXM6 AC,"8x NVIDIA B300 SXM6 AC (sm103, NVLink)",1,fl2va first-frame I2VA,BF16,TP1 x Ulysses1,none,50,152.6,0.1,0,n/a,n/a,144.0,5.87,2939,157.24,per-GPU max (external nvidia-smi),2032,Passed,FL2VA; requested 50 / executed 49 denoise updates; dense BF16 TRTLLM_ATTN; resident
NVIDIA B300 SXM6 AC,"8x NVIDIA B300 SXM6 AC (sm103, NVLink)",2,t2va,BF16,TP1 x Ulysses2,none,50,80.97,0.02,n/a,n/a,n/a,76.84,2.67,1568,133.34,per-GPU max (external nvidia-smi),2032,Passed,FL2VA; requested 50 / executed 49 denoise updates; dense BF16 TRTLLM_ATTN; resident
NVIDIA B300 SXM6 AC,"8x NVIDIA B300 SXM6 AC (sm103, NVLink)",2,fl2va first-frame I2VA,BF16,TP1 x Ulysses2,none,50,85.3,0.1,0,n/a,n/a,80.96,2.68,1652,133.34,per-GPU max (external nvidia-smi),2032,Passed,FL2VA; requested 50 / executed 49 denoise updates; dense BF16 TRTLLM_ATTN; resident
NVIDIA B300 SXM6 AC,"8x NVIDIA B300 SXM6 AC (sm103, NVLink)",2,t2va,BF16,TP2 x Ulysses1,none,50,78.52,0.02,n/a,n/a,n/a,74.51,2.7,1521,101.61,per-GPU max (external nvidia-smi),2032,Passed,FL2VA; requested 50 / executed 49 denoise updates; dense BF16 TRTLLM_ATTN; resident
NVIDIA B300 SXM6 AC,"8x NVIDIA B300 SXM6 AC (sm103, NVLink)",2,fl2va first-frame I2VA,BF16,TP2 x Ulysses1,none,50,82.83,0.1,0,n/a,n/a,78.55,2.68,1603,101.61,per-GPU max (external nvidia-smi),2032,Passed,FL2VA; requested 50 / executed 49 denoise updates; dense BF16 TRTLLM_ATTN; resident
NVIDIA B300 SXM6 AC,"8x NVIDIA B300 SXM6 AC (sm103, NVLink)",4,t2va,BF16,TP1 x Ulysses4,none,50,42.26,0.02,n/a,n/a,n/a,39.56,1.41,807,135.14,per-GPU max (external nvidia-smi),2032,Passed,FL2VA; requested 50 / executed 49 denoise updates; dense BF16 TRTLLM_ATTN; resident
NVIDIA B300 SXM6 AC,"8x NVIDIA B300 SXM6 AC (sm103, NVLink)",4,fl2va first-frame I2VA,BF16,TP1 x Ulysses4,none,50,44.26,0.1,0,n/a,n/a,41.34,1.39,844,135.14,per-GPU max (external nvidia-smi),2032,Passed,FL2VA; requested 50 / executed 49 denoise updates; dense BF16 TRTLLM_ATTN; resident
NVIDIA B300 SXM6 AC,"8x NVIDIA B300 SXM6 AC (sm103, NVLink)",4,t2va,BF16,TP2 x Ulysses2,none,50,49.08,0.02,n/a,n/a,n/a,46.29,1.38,945,104.45,per-GPU max (external nvidia-smi),2032,Passed,FL2VA; requested 50 / executed 49 denoise updates; dense BF16 TRTLLM_ATTN; resident
NVIDIA B300 SXM6 AC,"8x NVIDIA B300 SXM6 AC (sm103, NVLink)",4,fl2va first-frame I2VA,BF16,TP2 x Ulysses2,none,50,46.42,0.1,0,n/a,n/a,43.3,1.39,884,104.45,per-GPU max (external nvidia-smi),2032,Passed,FL2VA; requested 50 / executed 49 denoise updates; dense BF16 TRTLLM_ATTN; resident
NVIDIA B300 SXM6 AC,"8x NVIDIA B300 SXM6 AC (sm103, NVLink)",4,t2va,BF16,TP4 x Ulysses1,none,50,44.61,0.02,n/a,n/a,n/a,41.79,1.41,853,85.98,per-GPU max (external nvidia-smi),2032,Passed,FL2VA; requested 50 / executed 49 denoise updates; dense BF16 TRTLLM_ATTN; resident
NVIDIA B300 SXM6 AC,"8x NVIDIA B300 SXM6 AC (sm103, NVLink)",4,fl2va first-frame I2VA,BF16,TP4 x Ulysses1,none,50,46.94,0.1,0,n/a,n/a,43.8,1.41,894,85.98,per-GPU max (external nvidia-smi),2032,Passed,FL2VA; requested 50 / executed 49 denoise updates; dense BF16 TRTLLM_ATTN; resident
NVIDIA B300 SXM6 AC,"8x NVIDIA B300 SXM6 AC (sm103, NVLink)",8,t2va,BF16,TP1 x Ulysses8,none,50,23.66,0.02,n/a,n/a,n/a,21.41,0.83,437,135.75,per-GPU max (external nvidia-smi),2032,Passed,FL2VA; requested 50 / executed 49 denoise updates; dense BF16 TRTLLM_ATTN; resident
NVIDIA B300 SXM6 AC,"8x NVIDIA B300 SXM6 AC (sm103, NVLink)",8,fl2va first-frame I2VA,BF16,TP1 x Ulysses8,none,50,24.2,0.1,0,n/a,n/a,21.83,0.83,445,135.75,per-GPU max (external nvidia-smi),2032,Passed,FL2VA; requested 50 / executed 49 denoise updates; dense BF16 TRTLLM_ATTN; resident
NVIDIA B300 SXM6 AC,"8x NVIDIA B300 SXM6 AC (sm103, NVLink)",8,t2va,BF16,TP2 x Ulysses4,none,50,27.49,0.02,n/a,n/a,n/a,25.17,0.84,514,106.25,per-GPU max (external nvidia-smi),2032,Passed,FL2VA; requested 50 / executed 49 denoise updates; dense BF16 TRTLLM_ATTN; resident
NVIDIA B300 SXM6 AC,"8x NVIDIA B300 SXM6 AC (sm103, NVLink)",8,fl2va first-frame I2VA,BF16,TP2 x Ulysses4,none,50,25.44,0.11,0,n/a,n/a,22.96,0.84,469,106.25,per-GPU max (external nvidia-smi),2032,Passed,FL2VA; requested 50 / executed 49 denoise updates; dense BF16 TRTLLM_ATTN; resident
NVIDIA B300 SXM6 AC,"8x NVIDIA B300 SXM6 AC (sm103, NVLink)",8,t2va,BF16,TP4 x Ulysses2,none,50,28.91,0.02,n/a,n/a,n/a,26.6,0.84,543,88.44,per-GPU max (external nvidia-smi),2032,Passed,FL2VA; requested 50 / executed 49 denoise updates; dense BF16 TRTLLM_ATTN; resident
NVIDIA B300 SXM6 AC,"8x NVIDIA B300 SXM6 AC (sm103, NVLink)",8,fl2va first-frame I2VA,BF16,TP4 x Ulysses2,none,50,27.1,0.1,0,n/a,n/a,24.56,0.84,501,88.44,per-GPU max (external nvidia-smi),2032,Passed,FL2VA; requested 50 / executed 49 denoise updates; dense BF16 TRTLLM_ATTN; resident
