case,task,mode,topology,dp,sp,wave_samples,request_samples,measured_videos,engine_init_s,warmup_wave_s,mean_wave_s,wave_p50_s,wave_p95_s,wave_cv_pct,request_p50_s,request_p95_s,sustained_videos_per_hour,lifecycle_peak_memory_gib,measured_peak_memory_gib,mean_node_power_w,peak_node_power_w,energy_wh_per_video,telemetry_coverage_pct,mean_sm_clock_mhz,mean_gpu_util_pct,max_temperature_c,status,shape_ok,fatal_error
ranklocal-dp1-sp8-t2va-50step-r5,t2va,ranklocal,dp1-sp8,1,8,5,5,5,348.31003612000495,105.89164609392174,78.91867499351501,78.9212885349989,78.98388303234242,0.05943924123565115,78.78022901318036,78.86696606408805,45.61657934951167,26.263671875,26.263671875,4290.892564082633,6504.84,94.06434989906225,100.0,2032.0,95.86309523809524,60.0,passed,True,False
allgather-dp1-sp8-t2va-50step-r5,t2va,allgather,dp1-sp8,1,8,5,5,5,326.9554082560353,68.23246542993002,34.4033074460458,34.24266396299936,34.77942885910161,0.7383009954004893,34.112008680123836,34.6534987162333,104.64110189538685,24.935546875,23.52734375,7089.064422779068,8535.58,67.74650535921454,100.0,1814.6364942528735,90.52227011494253,74.0,passed,True,False
ranklocal-dp4-sp2-t2va-50step-r5,t2va,ranklocal,dp4-sp2,4,2,5,20,20,357.1848510671407,136.4233135059476,96.49688759343698,96.53021865617484,96.78464542301373,0.2556069403240488,96.2040189160034,96.45805224406067,149.22761095332345,23.912109375,23.912109375,7739.723069663594,8678.800000000001,51.865238338504795,100.0,1640.114670502092,94.22685669456067,77.0,passed,True,False
allgather-dp4-sp2-t2va-50step-r5,t2va,allgather,dp4-sp2,4,2,5,20,20,311.8539885180071,111.8642603319604,94.40509399683215,94.37644968321547,94.68954103840515,0.23564622548244135,94.0254583255155,94.27987037707352,152.5341418597942,24.974609375,24.974609375,7881.261385587856,8714.59,51.66884957844369,100.0,1611.5464743589744,94.11017628205128,78.0,passed,True,False
ranklocal-dp8-sp1-t2va-50step-r5,t2va,ranklocal,dp8-sp1,8,1,5,40,40,420.8009794289246,166.2483102818951,156.9041489996016,156.92485627299175,157.16690789973364,0.12176376929582645,156.05626885558013,156.30276232995092,183.55155159136757,20.02734375,20.02734375,8069.86866347063,8780.83,43.96514660893554,100.0,1522.1229626078618,94.38950143815916,73.0,passed,True,False
allgather-dp8-sp1-t2va-50step-r5,t2va,allgather,dp8-sp1,8,1,5,40,40,357.66571644716896,184.2205602650065,163.58930882075802,162.8354269778356,165.50772324628196,0.7680935656001869,162.1479018710088,164.9133004831732,176.05062462581625,94.03125,94.03125,7982.5736833893125,8675.76,45.08265012415831,99.4269144000194,1492.9177938432836,94.89295708955224,77.0,passed,True,False
allgather-dp1-sp8-fl2va-50step-r5,fl2va,allgather,dp1-sp8,1,8,5,5,5,313.0294175001327,82.358262272086,37.9075237070676,37.924259808147326,38.324772434355694,0.93753889559733,37.825976692838594,38.232793235499415,94.96795485295192,34.673828125,23.59375,7015.01562654426,8548.64,73.86722819523075,100.0,1863.6025132275133,91.28769841269842,77.0,passed,True,False
allgather-dp4-sp2-fl2va-50step-r5,fl2va,allgather,dp4-sp2,4,2,5,20,20,309.08109516091645,150.79273109184578,102.92264100080357,102.90282876207493,103.13342724968679,0.16966649153229205,102.65562396950554,102.86027336129919,139.91090648254522,25.15625,25.15625,7832.813728932739,8684.05,55.98431490148273,100.0,1621.3094435075886,94.0524873524452,78.0,passed,True,False
ranklocal-dp8-sp1-fl2va-50step-r5,fl2va,ranklocal,dp8-sp1,8,1,5,40,40,467.04236703785136,185.89386785891838,173.57223660545424,170.21746728708968,178.8999878913164,2.4783279836531307,169.40395385259762,178.00542293251493,165.92515348791102,93.83984375,31.140625,7857.905438366206,8703.85,46.882398891267236,98.99543290631041,1554.9924931756143,92.54583712465877,76.0,passed,True,False
allgather-dp1-sp8-ref2va-50step-r5,ref2va,allgather,dp1-sp8,1,8,5,5,5,333.59189733304083,96.65881789801642,55.685962193552406,55.44087025686167,56.288000704720616,0.7630638539759705,55.308971765916795,56.18421814506873,64.64824990339892,102.18359375,97.20703125,6701.995211280079,8708.87,103.66866568038772,100.0,1754.1183510638298,92.02881205673759,77.0,passed,True,False
