case,sample_index,wave_s
ranklocal-dp1-sp8-t2va-50step-r5,0,78.99690022296272
ranklocal-dp1-sp8-t2va-50step-r5,1,78.88367592985742
ranklocal-dp1-sp8-t2va-50step-r5,2,78.9212885349989
ranklocal-dp1-sp8-t2va-50step-r5,3,78.85969600989483
ranklocal-dp1-sp8-t2va-50step-r5,4,78.9318142698612
allgather-dp1-sp8-t2va-50step-r5,0,34.542716522933915
allgather-dp1-sp8-t2va-50step-r5,1,34.24266396299936
allgather-dp1-sp8-t2va-50step-r5,2,34.22889453009702
allgather-dp1-sp8-t2va-50step-r5,3,34.83860694314353
allgather-dp1-sp8-t2va-50step-r5,4,34.16365527105518
ranklocal-dp4-sp2-t2va-50step-r5,0,96.80010823300108
ranklocal-dp4-sp2-t2va-50step-r5,1,96.72279418306425
ranklocal-dp4-sp2-t2va-50step-r5,2,96.18466887599789
ranklocal-dp4-sp2-t2va-50step-r5,3,96.24664801894687
ranklocal-dp4-sp2-t2va-50step-r5,4,96.53021865617484
allgather-dp4-sp2-t2va-50step-r5,0,94.60343311587349
allgather-dp4-sp2-t2va-50step-r5,1,94.71106801903807
allgather-dp4-sp2-t2va-50step-r5,2,94.15086788102053
allgather-dp4-sp2-t2va-50step-r5,3,94.18365128501318
allgather-dp4-sp2-t2va-50step-r5,4,94.37644968321547
ranklocal-dp8-sp1-t2va-50step-r5,0,156.73276200098917
ranklocal-dp8-sp1-t2va-50step-r5,1,157.2165887071751
ranklocal-dp8-sp1-t2va-50step-r5,2,156.67835334688425
ranklocal-dp8-sp1-t2va-50step-r5,3,156.92485627299175
ranklocal-dp8-sp1-t2va-50step-r5,4,156.96818466996774
allgather-dp8-sp1-t2va-50step-r5,0,165.89930333010852
allgather-dp8-sp1-t2va-50step-r5,1,163.94140291097574
allgather-dp8-sp1-t2va-50step-r5,2,162.48488878598437
allgather-dp8-sp1-t2va-50step-r5,3,162.78552209888585
allgather-dp8-sp1-t2va-50step-r5,4,162.8354269778356
allgather-dp1-sp8-fl2va-50step-r5,0,37.296760766999796
allgather-dp1-sp8-fl2va-50step-r5,1,37.98655395512469
allgather-dp1-sp8-fl2va-50step-r5,2,37.924259808147326
allgather-dp1-sp8-fl2va-50step-r5,3,37.920716950902715
allgather-dp1-sp8-fl2va-50step-r5,4,38.40932705416344
allgather-dp4-sp2-fl2va-50step-r5,0,103.14217631611973
allgather-dp4-sp2-fl2va-50step-r5,1,102.77005857392214
allgather-dp4-sp2-fl2va-50step-r5,2,102.69971036794595
allgather-dp4-sp2-fl2va-50step-r5,3,102.90282876207493
allgather-dp4-sp2-fl2va-50step-r5,4,103.09843098395504
ranklocal-dp8-sp1-fl2va-50step-r5,0,178.94095333013684
ranklocal-dp8-sp1-fl2va-50step-r5,1,178.73612613603473
ranklocal-dp8-sp1-fl2va-50step-r5,2,170.21746728708968
ranklocal-dp8-sp1-fl2va-50step-r5,3,169.88679977110587
ranklocal-dp8-sp1-fl2va-50step-r5,4,170.07983650290407
allgather-dp1-sp8-ref2va-50step-r5,0,55.99064328800887
allgather-dp1-sp8-ref2va-50step-r5,1,56.36234005889855
allgather-dp1-sp8-ref2va-50step-r5,2,55.214124653022736
allgather-dp1-sp8-ref2va-50step-r5,3,55.44087025686167
allgather-dp1-sp8-ref2va-50step-r5,4,55.42183271097019
allgather-dp4-sp2-ref2va-50step-r5,0,167.01304856687784
allgather-dp4-sp2-ref2va-50step-r5,1,166.68619965412654
allgather-dp4-sp2-ref2va-50step-r5,2,166.95763213490136
allgather-dp4-sp2-ref2va-50step-r5,3,176.68391854013316
allgather-dp4-sp2-ref2va-50step-r5,4,167.15852566296235
ranklocal-dp8-sp1-ref2va-50step-r5,0,289.68081891187467
ranklocal-dp8-sp1-ref2va-50step-r5,1,289.25772122107446
ranklocal-dp8-sp1-ref2va-50step-r5,2,287.6175738100428
ranklocal-dp8-sp1-ref2va-50step-r5,3,286.7002170209307
ranklocal-dp8-sp1-ref2va-50step-r5,4,285.8072912108619
soak-allgather-dp1-sp8-t2va-50step-r15,0,36.21506123198196
soak-allgather-dp1-sp8-t2va-50step-r15,1,34.241454757982865
soak-allgather-dp1-sp8-t2va-50step-r15,2,35.114581926958635
soak-allgather-dp1-sp8-t2va-50step-r15,3,34.560933315893635
soak-allgather-dp1-sp8-t2va-50step-r15,4,34.69453239394352
soak-allgather-dp1-sp8-t2va-50step-r15,5,34.46163991512731
soak-allgather-dp1-sp8-t2va-50step-r15,6,34.6710405908525
soak-allgather-dp1-sp8-t2va-50step-r15,7,34.8828783580102
soak-allgather-dp1-sp8-t2va-50step-r15,8,34.54589975904673
soak-allgather-dp1-sp8-t2va-50step-r15,9,34.241072338074446
soak-allgather-dp1-sp8-t2va-50step-r15,10,34.501001303084195
soak-allgather-dp1-sp8-t2va-50step-r15,11,35.20179368602112
soak-allgather-dp1-sp8-t2va-50step-r15,12,34.174797968007624
soak-allgather-dp1-sp8-t2va-50step-r15,13,34.67267275089398
soak-allgather-dp1-sp8-t2va-50step-r15,14,35.19288958283141
soak-allgather-dp4-sp2-t2va-50step-r15,0,95.1047255678568
soak-allgather-dp4-sp2-t2va-50step-r15,1,95.30123172095045
soak-allgather-dp4-sp2-t2va-50step-r15,2,95.39917947002687
soak-allgather-dp4-sp2-t2va-50step-r15,3,95.26087002479471
soak-allgather-dp4-sp2-t2va-50step-r15,4,94.71903971489519
soak-allgather-dp4-sp2-t2va-50step-r15,5,94.82264852989465
soak-allgather-dp4-sp2-t2va-50step-r15,6,94.65760229318403
soak-allgather-dp4-sp2-t2va-50step-r15,7,94.90892298403196
soak-allgather-dp4-sp2-t2va-50step-r15,8,94.6725157070905
soak-allgather-dp4-sp2-t2va-50step-r15,9,95.02406334900297
soak-allgather-dp4-sp2-t2va-50step-r15,10,94.7351494859904
soak-allgather-dp4-sp2-t2va-50step-r15,11,95.04445270099677
soak-allgather-dp4-sp2-t2va-50step-r15,12,94.70667615602724
soak-allgather-dp4-sp2-t2va-50step-r15,13,94.95440898905508
soak-allgather-dp4-sp2-t2va-50step-r15,14,94.7221505229827
soak-ranklocal-dp8-sp1-t2va-50step-r15,0,156.7593610167969
soak-ranklocal-dp8-sp1-t2va-50step-r15,1,156.61332127009518
soak-ranklocal-dp8-sp1-t2va-50step-r15,2,156.95707907597534
soak-ranklocal-dp8-sp1-t2va-50step-r15,3,156.51728480495512
soak-ranklocal-dp8-sp1-t2va-50step-r15,4,156.54197374801151
soak-ranklocal-dp8-sp1-t2va-50step-r15,5,156.85744950803928
soak-ranklocal-dp8-sp1-t2va-50step-r15,6,156.8194091389887
soak-ranklocal-dp8-sp1-t2va-50step-r15,7,156.5648122720886
soak-ranklocal-dp8-sp1-t2va-50step-r15,8,157.01837082812563
soak-ranklocal-dp8-sp1-t2va-50step-r15,9,156.34758708183654
soak-ranklocal-dp8-sp1-t2va-50step-r15,10,156.44614280201495
soak-ranklocal-dp8-sp1-t2va-50step-r15,11,156.29264628794044
soak-ranklocal-dp8-sp1-t2va-50step-r15,12,156.38694050116464
soak-ranklocal-dp8-sp1-t2va-50step-r15,13,156.75180666986853
soak-ranklocal-dp8-sp1-t2va-50step-r15,14,156.7842513031792
