case,task,dit,text_encoder,encoder_fp8_linear_modules_per_rank,wall_time_s,speedup_vs_bf16,peak_gpu_memory_mib,memory_reduction_vs_bf16_pct,psnr_avg_db_vs_bf16,ssim_vs_bf16,audio_snr_db_vs_bf16,audio_corr_vs_bf16,duration_s,width,height,fps,audio_sample_rate,audio_channels,size_bytes
bf16,t2va,BF16,BF16,0,65.603885312,1.0,102916.0,0.0,,1.0,,1.0,5.207,1344,768,24.0,32000,2,6473056
bf16,i2va,BF16,BF16,0,71.57,1.0,103744.0,0.0,,1.0,,1.0,5.207,1376,768,24.0,32000,2,4370052
bf16,ref2va,BF16,BF16,0,229.41,1.0,105278.0,0.0,,1.0,,1.0,5.207,1344,768,24.0,32000,2,6495050
dit_fp8,t2va,FP8,BF16,0,61.011190784,1.075276264386638,71304.0,30.716312332387577,17.919742,0.730082,8.24176089970719,0.9236092754749072,5.207,1344,768,24.0,32000,2,6716057
dit_fp8,i2va,FP8,BF16,0,67.27,1.0639215103314998,72288.0,30.320789636027143,26.707323,0.941386,10.53475145613685,0.9550405499222323,5.207,1376,768,24.0,32000,2,4386702
dit_fp8,ref2va,FP8,BF16,0,224.03,1.0240146408963084,73720.0,29.97587340185034,44.135647,0.983917,7.181753783763703,0.9140554192546413,5.207,1344,768,24.0,32000,2,6506256
te_mlp_l0_9,t2va,BF16,MLP layers 0-9,20,63.578172928,1.0318617583788394,102586.0,0.32064985036340315,25.698373,0.881277,18.00503964920491,0.99206555187213,5.207,1344,768,24.0,32000,2,6500660
te_mlp_l0_9,i2va,BF16,MLP layers 0-9,20,73.274430976,0.9767390759191529,107092.0,-3.2271745835903762,39.782078,0.986327,15.726409608326033,0.9880669843006453,5.207,1376,768,24.0,32000,2,4376073
te_mlp_l0_9,ref2va,BF16,MLP layers 0-9,20,232.0685568,0.9885440887095652,104462.0,0.7750907122095785,46.240566,0.986236,17.490090922925177,0.9910513538854648,5.207,1344,768,24.0,32000,2,6495627
te_mlp_l0_24,t2va,BF16,MLP layers 0-24,50,63.256454144,1.0371097495072392,102714.0,0.19627657507093163,26.21058,0.892044,16.746245851715283,0.9897261411750764,5.207,1344,768,24.0,32000,2,6442640
te_mlp_l0_24,i2va,BF16,MLP layers 0-24,50,73.983112192,0.9673829321245973,107220.0,-3.3505552128315856,38.278113,0.984155,14.418015204028778,0.9877223479114856,5.207,1376,768,24.0,32000,2,4355522
te_mlp_l0_24,ref2va,BF16,MLP layers 0-24,50,230.420713984,0.99561361491107,104262.0,0.9650639259864359,46.213424,0.986204,16.71928875206256,0.9893336602385515,5.207,1344,768,24.0,32000,2,6495969
te_mlp_all,t2va,BF16,MLP layers 0-49,100,65.3636736,1.0036750032360482,102586.0,0.32064985036340315,25.600166,0.877448,16.262114532478403,0.9881238207954752,5.207,1344,768,24.0,32000,2,6613367
te_mlp_all,i2va,BF16,MLP layers 0-49,100,75.825796352,0.9438740302542467,107092.0,-3.2271745835903762,37.845099,0.984017,14.766438430012334,0.9864704352623335,5.207,1376,768,24.0,32000,2,4339229
te_mlp_all,ref2va,BF16,MLP layers 0-49,100,232.73860224,0.9856981084875316,104262.0,0.9650639259864359,46.184733,0.986168,15.371530137089575,0.985460465566382,5.207,1344,768,24.0,32000,2,6494240
te_mlp_o_all,t2va,BF16,MLP + attention O layers 0-49,150,65.260534272,1.0052612355051975,102596.0,0.3109331882311788,24.418658,0.86351,16.02031534558311,0.9890285019721987,5.207,1344,768,24.0,32000,2,6574318
te_mlp_o_all,i2va,BF16,MLP + attention O layers 0-49,150,76.052184832,0.9410643515120415,107102.0,-3.236813695249846,36.356625,0.980494,17.557520180566875,0.99132469394362,5.207,1376,768,24.0,32000,2,4333062
te_mlp_o_all,ref2va,BF16,MLP + attention O layers 0-49,150,232.747322368,0.9856611782509648,104272.0,0.955565265297593,46.196426,0.986199,18.24934606860136,0.9924900434536628,5.207,1344,768,24.0,32000,2,6493734
te_all_linear,t2va,BF16,all decoder linear layers,200,64.189391872,1.02203624927341,102600.0,0.3070465233782891,25.826647,0.888898,14.925744263874083,0.984826959097316,5.207,1344,768,24.0,32000,2,6494017
te_all_linear,i2va,BF16,all decoder linear layers,200,74.897097728,0.9555777482849487,107104.0,-3.23874151758174,34.761107,0.980503,16.0465342402004,0.9878354882398876,5.207,1376,768,24.0,32000,2,4367789
te_all_linear,ref2va,BF16,all decoder linear layers,200,232.705774592,0.9858371602605116,104276.0,0.9517658010220559,46.178868,0.986181,17.88566248237219,0.991858011168062,5.207,1344,768,24.0,32000,2,6495295
dit_te_mlp_all,t2va,FP8,MLP layers 0-49,100,60.744813056,1.0799915583166002,71040.0,30.972832212678302,18.379915,0.741515,8.921948100244823,0.9423529403385853,5.207,1344,768,24.0,32000,2,6657436
dit_te_mlp_all,i2va,FP8,MLP layers 0-49,100,71.02788608,1.0076324096058469,75546.0,27.180367057371992,26.639631,0.94087,10.393239409833084,0.962769847654496,5.207,1376,768,24.0,32000,2,4376589
dit_te_mlp_all,ref2va,FP8,MLP layers 0-49,100,225.218247168,1.0186119592204852,72708.0,30.937137863561237,44.11665,0.983895,6.638103925444368,0.8992719136606779,5.207,1344,768,24.0,32000,2,6500832
all_linear_fp8,t2va,FP8,all decoder linear layers,200,59.0,1.1119302595254237,71038.0,30.974775545104745,17.942954,0.729025,8.473461223946433,0.9350607520861237,5.207,1344,768,24.0,32000,2,6699623
all_linear_fp8,i2va,FP8,all decoder linear layers,200,67.38,1.062184624517661,77042.0,25.73835595311536,29.402802,0.951065,9.96357015048858,0.9703926289002567,5.207,1376,768,24.0,32000,2,4499567
all_linear_fp8,ref2va,FP8,all decoder linear layers,200,224.0,1.0241517857142857,72706.0,30.939037595699006,44.153436,0.983919,7.900712473040036,0.9249547682426404,5.207,1344,768,24.0,32000,2,6502622
