typeId,metricId,metricName,nsys_device_id,physical_gpu,pci_bus_id,uuid
281479271677952,0,GPC Clock Frequency [MHz],0,2,0000:76:00.0,e085789b-29cd-d6df-496b-5dad5c4b5c43
281479271677952,1,SYS Clock Frequency [MHz],0,2,0000:76:00.0,e085789b-29cd-d6df-496b-5dad5c4b5c43
281479271677953,0,GPC Clock Frequency [MHz],1,3,0000:79:00.0,32501c40-fd27-a9d6-76fe-084c5e444e6f
281479271677953,1,SYS Clock Frequency [MHz],1,3,0000:79:00.0,32501c40-fd27-a9d6-76fe-084c5e444e6f
281479271677954,0,GPC Clock Frequency [MHz],2,0,0000:06:00.0,1c189c11-e797-a795-cefd-495b190afebc
281479271677954,1,SYS Clock Frequency [MHz],2,0,0000:06:00.0,1c189c11-e797-a795-cefd-495b190afebc
281479271677955,0,GPC Clock Frequency [MHz],3,1,0000:09:00.0,b54052c1-bb48-57e1-3f97-97be7e985728
281479271677955,1,SYS Clock Frequency [MHz],3,1,0000:09:00.0,b54052c1-bb48-57e1-3f97-97be7e985728
281479271677956,0,GPC Clock Frequency [MHz],4,6,0000:f6:00.0,b50a8d05-d205-c7cf-a973-6f19cf00daa6
281479271677956,1,SYS Clock Frequency [MHz],4,6,0000:f6:00.0,b50a8d05-d205-c7cf-a973-6f19cf00daa6
281479271677957,0,GPC Clock Frequency [MHz],5,7,0000:f9:00.0,e971a79f-ce70-f7e7-4a38-5159f9d7c291
281479271677957,1,SYS Clock Frequency [MHz],5,7,0000:f9:00.0,e971a79f-ce70-f7e7-4a38-5159f9d7c291
281479271677958,0,GPC Clock Frequency [MHz],6,4,0000:86:00.0,dd0e5f62-6fe7-1934-1afa-6c5be5a4aad4
281479271677958,1,SYS Clock Frequency [MHz],6,4,0000:86:00.0,dd0e5f62-6fe7-1934-1afa-6c5be5a4aad4
281479271677959,0,GPC Clock Frequency [MHz],7,5,0000:89:00.0,1532cfd2-4280-c32d-153c-1ea7a2152ef8
281479271677959,1,SYS Clock Frequency [MHz],7,5,0000:89:00.0,1532cfd2-4280-c32d-153c-1ea7a2152ef8
