Processing [/lustre/raplab/client/sylarl/minimax-h3-native/experiments/h3-vsa-sage-pr4691-20260910/runs/pr4691-nsys/pr4691-warmed.sqlite] with [/opt/nvidia/nsight-systems/2025.3.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
37.5,65272595358,5792,11269439.8,13342291.5,11232,19456766,6133152.1,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x64_64x3_tn_align8>(T1::Params)
12.2,21287521912,1600,13304701.2,13128528.0,12347522,16015679,1038937.6,kernel_cutlass_kernel_flashinfercute_dslsparsesm120_blk64flash_fwd_sm120_sageBlockSparseAttnForwardSageSm120Blk64_object_at__tensor0000o12811101213_tensor0000o12811101213_tensor0000o12811_0
8.0,14021345804,3200,4381670.6,4360019.5,4139485,4576225,83655.2,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x256_32x4_tn_align8>(T1::Params)
7.2,12562665068,21168,593474.4,598561.0,533761,666912,36793.1,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_256x128_32x3_tn_align8>(T1::Params)
6.0,10457767730,42336,247018.3,241200.5,92032,436800,144435.5,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x6_tn_align8>(T1::Params)
5.9,10215242997,12800,798065.9,8896.0,2176,18016226,1539556.3,"flashinfer::comm::ulysses_pcie::UlyssesPcieBarrier(unsigned long *, flashinfer::comm::ulysses_pcie::PeerSignalPointers, int, int, unsigned long *)"
3.3,5781034412,168,34410919.1,25425610.5,9728,73657446,29534715.6,ncclDevKernel_AllReduce_Sum_f32_TREE_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
3.2,5526548309,21168,261080.3,265633.0,230689,287393,14413.1,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x3_tn_align8>(T1::Params)
3.0,5287513836,752,7031268.4,128560.0,6336,96074204,12379618.2,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
2.1,3691069734,21168,174370.3,173152.0,155104,199232,11082.0,"void pytorch_flash::flash_fwd_kernel<Flash_fwd_kernel_traits<(int)64, (int)128, (int)128, (int)4, (bool)0, (bool)0, cutlass::half_t, Flash_kernel_traits<(int)64, (int)128, (int)128, (int)4, cutlass::half_t>>, (bool)0, (bool)0, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0>(pytorch_flash::Flash_fwd_params)"
1.7,2935492183,8832,332370.0,368224.0,1568,412160,108128.8,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
1.1,1997597419,6400,312124.6,316064.0,290337,328321,9631.8,_h3_vsa_tile_pack_kernel
0.8,1362805078,1600,851753.2,847328.0,840799,892864,12764.4,"void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bfloat162, &vllm::silu_kernel<c10::BFloat16>, &vllm::packed_silu_kernel<__nv_bfloat162>, (bool)1, (bool)1, (bool)0, (bool)1>(T1 *, const T1 *, int, float, float, float)"
0.5,937104497,3200,292845.2,293088.0,272800,316640,15842.2,_rms_norm_rope_kernel
