color_space,frame_index,time_s,psnr_db,ssim,mse
rgb,0,0.0,15.15,0.378923,1985.01
rgb,1,0.041666666666666664,15.15,0.377599,1985.94
rgb,2,0.08333333333333333,15.14,0.375533,1991.98
rgb,3,0.125,15.15,0.375208,1987.15
rgb,4,0.16666666666666666,15.13,0.37295,1994.45
rgb,5,0.20833333333333334,15.15,0.375272,1988.05
rgb,6,0.25,15.14,0.371882,1990.55
rgb,7,0.2916666666666667,15.17,0.3733,1979.13
rgb,8,0.3333333333333333,15.16,0.371618,1982.7
rgb,9,0.375,15.19,0.374414,1966.36
rgb,10,0.4166666666666667,15.19,0.372904,1966.06
rgb,11,0.4583333333333333,15.22,0.373376,1956.33
rgb,12,0.5,15.21,0.37179,1960.13
rgb,13,0.5416666666666666,15.22,0.374197,1954.5
rgb,14,0.5833333333333334,15.17,0.368481,1978.64
rgb,15,0.625,15.14,0.366194,1992.39
rgb,16,0.6666666666666666,15.1,0.36257,2011.75
rgb,17,0.7083333333333334,15.09,0.360645,2015.64
rgb,18,0.75,15.04,0.359272,2037.8
rgb,19,0.7916666666666666,14.97,0.35742,2072.51
rgb,20,0.8333333333333334,14.92,0.353828,2095.9
rgb,21,0.875,14.74,0.349499,2182.4
rgb,22,0.9166666666666666,14.14,0.334201,2505.77
rgb,23,0.9583333333333334,14.03,0.326588,2567.99
rgb,24,1.0,13.92,0.319962,2633.83
rgb,25,1.0416666666666667,14.08,0.322961,2542.91
rgb,26,1.0833333333333333,14.08,0.324922,2540.73
rgb,27,1.125,14.17,0.325379,2488.99
rgb,28,1.1666666666666667,14.24,0.32529,2452.3
rgb,29,1.2083333333333333,14.41,0.32814,2355.23
rgb,30,1.25,14.49,0.330678,2315.0
rgb,31,1.2916666666666667,14.58,0.33402,2267.27
rgb,32,1.3333333333333333,14.68,0.3358,2212.44
rgb,33,1.375,14.8,0.341446,2153.69
rgb,34,1.4166666666666667,14.85,0.340389,2129.7
rgb,35,1.4583333333333333,14.8,0.339115,2151.15
rgb,36,1.5,14.69,0.331482,2206.25
rgb,37,1.5416666666666667,14.65,0.32887,2229.0
rgb,38,1.5833333333333333,14.59,0.324863,2262.07
rgb,39,1.625,14.5,0.319988,2304.73
rgb,40,1.6666666666666667,14.5,0.319159,2304.67
rgb,41,1.7083333333333333,14.55,0.32283,2281.49
rgb,42,1.75,14.62,0.327864,2244.25
rgb,43,1.7916666666666667,14.67,0.333319,2219.49
rgb,44,1.8333333333333333,14.73,0.338474,2190.08
rgb,45,1.875,14.81,0.345088,2146.08
rgb,46,1.9166666666666667,14.91,0.354915,2101.05
rgb,47,1.9583333333333333,14.97,0.364596,2069.84
rgb,48,2.0,15.01,0.368547,2051.77
rgb,49,2.0416666666666665,15.12,0.379165,1998.52
rgb,50,2.0833333333333335,15.15,0.384606,1986.49
rgb,51,2.125,15.25,0.397279,1940.3
rgb,52,2.1666666666666665,15.13,0.398883,1994.39
rgb,53,2.2083333333333335,15.14,0.407263,1990.91
rgb,54,2.25,15.16,0.417455,1983.52
rgb,55,2.2916666666666665,15.21,0.424984,1959.07
rgb,56,2.3333333333333335,15.24,0.433584,1944.02
rgb,57,2.375,15.33,0.441898,1906.4
rgb,58,2.4166666666666665,15.53,0.454965,1818.3
rgb,59,2.4583333333333335,15.63,0.461563,1778.52
rgb,60,2.5,15.71,0.470521,1747.16
rgb,61,2.5416666666666665,15.68,0.475443,1759.22
rgb,62,2.5833333333333335,15.71,0.481233,1745.36
rgb,63,2.625,15.78,0.48772,1716.83
rgb,64,2.6666666666666665,15.94,0.494568,1656.99
rgb,65,2.7083333333333335,16.06,0.500382,1612.54
rgb,66,2.75,16.17,0.505812,1571.04
rgb,67,2.7916666666666665,16.16,0.507313,1574.01
rgb,68,2.8333333333333335,16.13,0.50582,1586.69
rgb,69,2.875,16.08,0.506832,1602.03
rgb,70,2.9166666666666665,15.92,0.503135,1664.46
rgb,71,2.9583333333333335,15.84,0.501407,1694.38
rgb,72,3.0,15.67,0.496515,1761.04
rgb,73,3.0416666666666665,15.63,0.496603,1779.17
rgb,74,3.0833333333333335,15.61,0.496858,1788.0
rgb,75,3.125,15.66,0.49932,1766.14
rgb,76,3.1666666666666665,15.74,0.502591,1735.69
rgb,77,3.2083333333333335,15.84,0.507932,1693.82
rgb,78,3.25,15.9,0.511305,1670.61
rgb,79,3.2916666666666665,15.94,0.513235,1655.34
rgb,80,3.3333333333333335,15.91,0.512264,1666.56
rgb,81,3.375,15.93,0.51267,1661.35
rgb,82,3.4166666666666665,15.87,0.509912,1682.82
rgb,83,3.4583333333333335,15.83,0.509032,1697.76
rgb,84,3.5,15.74,0.505922,1734.45
rgb,85,3.5416666666666665,15.7,0.504137,1751.89
rgb,86,3.5833333333333335,15.65,0.500783,1771.35
rgb,87,3.625,15.6,0.499669,1789.61
rgb,88,3.6666666666666665,15.57,0.498179,1802.83
rgb,89,3.7083333333333335,15.57,0.49829,1804.2
rgb,90,3.75,15.64,0.500476,1774.4
rgb,91,3.7916666666666665,15.69,0.502483,1754.67
rgb,92,3.8333333333333335,15.76,0.505838,1725.65
rgb,93,3.875,15.78,0.506906,1717.24
rgb,94,3.9166666666666665,15.82,0.508318,1701.45
rgb,95,3.9583333333333335,15.83,0.508616,1700.15
rgb,96,4.0,15.84,0.508485,1694.61
rgb,97,4.041666666666667,15.84,0.508706,1694.28
rgb,98,4.083333333333333,15.84,0.508083,1693.25
rgb,99,4.125,15.85,0.509026,1692.19
rgb,100,4.166666666666667,15.83,0.50698,1697.67
rgb,101,4.208333333333333,15.86,0.508628,1688.63
rgb,102,4.25,15.9,0.509167,1671.03
rgb,103,4.291666666666667,15.92,0.511666,1663.76
rgb,104,4.333333333333333,15.87,0.510707,1682.33
rgb,105,4.375,15.84,0.510333,1694.78
rgb,106,4.416666666666667,15.76,0.506845,1728.01
rgb,107,4.458333333333333,15.71,0.504884,1746.85
rgb,108,4.5,15.63,0.501994,1777.19
rgb,109,4.541666666666667,15.61,0.500274,1786.33
rgb,110,4.583333333333333,15.53,0.495293,1818.74
rgb,111,4.625,15.55,0.494353,1811.58
rgb,112,4.666666666666667,15.54,0.492336,1815.77
rgb,113,4.708333333333333,15.55,0.492136,1812.16
rgb,114,4.75,15.51,0.48759,1828.46
rgb,115,4.791666666666667,15.45,0.482212,1853.82
rgb,116,4.833333333333333,15.33,0.474491,1906.17
rgb,117,4.875,15.25,0.464954,1941.92
rgb,118,4.916666666666667,15.09,0.448925,2012.46
rgb,119,4.958333333333333,14.97,0.4305,2071.26
rgb,120,5.0,14.73,0.406281,2187.82
rgb,121,5.041666666666667,14.65,0.394182,2230.2
rgb,122,5.083333333333333,14.6,0.390279,2252.65
rgb,123,5.125,14.58,0.38637,2263.47
rgb,124,5.166666666666667,14.52,0.374632,2298.43
rgb,125,5.208333333333333,14.47,0.370878,2325.08
rgb,126,5.25,14.43,0.368914,2345.4
rgb,127,5.291666666666667,14.42,0.367473,2350.9
