mode,metric,physical_gpu,window,sample_count,max_mhz,mean_mhz,first_timestamp_ns,last_timestamp_ns
bf16,gpc,0,full_capture,30614,2377.5336,2208.770270501764,-175524121,32427284920
bf16,gpc,0,timestamps_inside_fine_vsa_kernels,4412,2376.043,2330.664550339982,3722321513,23759658818
bf16,gpc,1,full_capture,30699,2377.5358,2237.2119356184567,-145779923,32643308670
bf16,gpc,1,timestamps_inside_fine_vsa_kernels,4370,2376.7548,2359.242739153318,3718816904,23758955603
bf16,gpc,2,full_capture,30323,2377.6012,2248.189133139498,-231057320,31938494093
bf16,gpc,2,timestamps_inside_fine_vsa_kernels,4343,2377.0865,2363.643827953028,3720226210,23759263708
bf16,gpc,3,full_capture,30435,2377.4972,2189.8270964041726,-203829324,32190930816
bf16,gpc,3,timestamps_inside_fine_vsa_kernels,4531,2370.081,2267.471102913264,3708286788,23760483632
bf16,gpc,4,full_capture,31186,2585.6183,2275.2069204723916,-37625049,33322068879
bf16,gpc,4,timestamps_inside_fine_vsa_kernels,4416,2529.6106,2328.2501474411233,3696942071,23758987783
bf16,gpc,5,full_capture,31232,2590.6284,2329.3673934711833,928635,33490505184
bf16,gpc,5,timestamps_inside_fine_vsa_kernels,4325,2532.6819,2384.0300813410404,3708661522,23758573160
bf16,gpc,6,full_capture,30902,2646.5818,2332.6824535317132,-114173021,32772359089
bf16,gpc,6,timestamps_inside_fine_vsa_kernels,4357,2577.1519,2364.229878494377,3708618547,23758804475
bf16,gpc,7,full_capture,29840,1950.0894,1946.4516051503017,-76136096,33057025044
bf16,gpc,7,timestamps_inside_fine_vsa_kernels,5275,1950.0724,1948.4793471658768,3705558749,23763663358
bf16,sys,0,full_capture,30614,2166.474,1990.88798512883,-175524121,32427284920
bf16,sys,0,timestamps_inside_fine_vsa_kernels,4412,2162.12,2121.2830763825928,3722321513,23759658818
bf16,sys,1,full_capture,30699,2167.534,2023.1754655948728,-145779923,32643308670
bf16,sys,1,timestamps_inside_fine_vsa_kernels,4370,2167.226,2158.4602469107554,3718816904,23758955603
bf16,sys,2,full_capture,30323,2164.098,2032.6332194380502,-231057320,31938494093
bf16,sys,2,timestamps_inside_fine_vsa_kernels,4343,2162.603,2148.9098818788857,3720226210,23759263708
bf16,sys,3,full_capture,30435,2167.535,1994.1301389844916,-203829324,32190930816
bf16,sys,3,timestamps_inside_fine_vsa_kernels,4531,2164.364,2112.661306113441,3708286788,23760483632
bf16,sys,4,full_capture,31186,2304.277,2011.433084847143,-37625049,33322068879
bf16,sys,4,timestamps_inside_fine_vsa_kernels,4416,2275.503,2114.1182563405796,3696942071,23758987783
bf16,sys,5,full_capture,31232,2321.888,2039.44314348604,928635,33490505184
bf16,sys,5,timestamps_inside_fine_vsa_kernels,4325,2288.14,2156.37285849711,3708661522,23758573160
bf16,sys,6,full_capture,30902,2375.161,2076.601494673581,-114173021,32772359089
bf16,sys,6,timestamps_inside_fine_vsa_kernels,4357,2343.236,2157.7322320403946,3708618547,23758804475
bf16,sys,7,full_capture,29840,1798.612,1737.3984492116288,-76136096,33057025044
bf16,sys,7,timestamps_inside_fine_vsa_kernels,5275,1797.93,1786.6924123222748,3705558749,23763663358
pr4691,gpc,0,full_capture,29212,2377.5263,2219.0741656907435,-177652958,31010583065
pr4691,gpc,0,timestamps_inside_fine_vsa_kernels,2625,2377.2712,2371.8217496380953,3687592202,22107924240
pr4691,gpc,1,full_capture,29360,2377.674081,2237.839471353304,-147833203,31320385067
pr4691,gpc,1,timestamps_inside_fine_vsa_kernels,2627,2377.674081,2368.7635760491053,3677356529,22108795424
pr4691,gpc,2,full_capture,28900,2377.5596,2246.8621234359516,-234968193,30539788521
pr4691,gpc,2,timestamps_inside_fine_vsa_kernels,2626,2377.5539,2372.171093488195,3684194226,22108449187
pr4691,gpc,3,full_capture,29033,2377.567,2210.58677087032,-206743939,30775053343
pr4691,gpc,3,timestamps_inside_fine_vsa_kernels,2630,2377.1879,2368.070306311787,3678729505,22108455451
pr4691,gpc,4,full_capture,29786,2587.0698,2302.6619972457192,-38049201,31968311546
pr4691,gpc,4,timestamps_inside_fine_vsa_kernels,2552,2553.3474,2442.660832719436,3683545863,22107963618
pr4691,gpc,5,full_capture,29898,2588.8437,2342.6948183052045,944708,32197115436
pr4691,gpc,5,timestamps_inside_fine_vsa_kernels,2518,2542.1029,2479.2668700953136,3679010448,22107449902
pr4691,gpc,6,full_capture,29623,2644.4448,2350.5193599509503,-115997102,31532422340
pr4691,gpc,6,timestamps_inside_fine_vsa_kernels,2514,2610.628,2482.1539380270488,3663080676,22107764532
pr4691,gpc,7,full_capture,28488,1950.081,1946.4647298087966,-76076939,31751697814
pr4691,gpc,7,timestamps_inside_fine_vsa_kernels,3196,1950.0611,1948.3752437421776,3668270298,22111524701
pr4691,sys,0,full_capture,29212,2162.322,1996.666589745002,-177652958,31010583065
pr4691,sys,0,timestamps_inside_fine_vsa_kernels,2625,2162.322,2145.5936034285714,3687592202,22107924240
pr4691,sys,1,full_capture,29360,2167.537,2017.6977166679155,-147833203,31320385067
pr4691,sys,1,timestamps_inside_fine_vsa_kernels,2627,2167.351,2161.613907942139,3677356529,22108795424
pr4691,sys,2,full_capture,28900,2163.986,2028.0523142677855,-234968193,30539788521
pr4691,sys,2,timestamps_inside_fine_vsa_kernels,2626,2162.915,2152.1515007616144,3684194226,22108449187
pr4691,sys,3,full_capture,29033,2167.555,2003.9544094868597,-206743939,30775053343
pr4691,sys,3,timestamps_inside_fine_vsa_kernels,2630,2167.301,2162.836486311787,3678729505,22108455451
pr4691,sys,4,full_capture,29786,2304.975,2022.0388818217618,-38049201,31968311546
pr4691,sys,4,timestamps_inside_fine_vsa_kernels,2552,2301.732,2208.2609028213164,3683545863,22107963618
pr4691,sys,5,full_capture,29898,2321.639,2041.4804924221019,944708,32197115436
pr4691,sys,5,timestamps_inside_fine_vsa_kernels,2518,2306.939,2235.15259451946,3679010448,22107449902
