mode,metric,physical_gpu,window,sample_count,max_mhz,mean_mhz,first_timestamp_ns,last_timestamp_ns
bf16,gpc,0,timestamps_inside_fine_vsa_kernels,4412,2376.043,2330.664550339982,3722321513,23759658818
bf16,gpc,1,timestamps_inside_fine_vsa_kernels,4370,2376.7548,2359.242739153318,3718816904,23758955603
bf16,gpc,2,timestamps_inside_fine_vsa_kernels,4343,2377.0865,2363.643827953028,3720226210,23759263708
bf16,gpc,3,timestamps_inside_fine_vsa_kernels,4531,2370.081,2267.471102913264,3708286788,23760483632
bf16,gpc,4,timestamps_inside_fine_vsa_kernels,4416,2529.6106,2328.2501474411233,3696942071,23758987783
bf16,gpc,5,timestamps_inside_fine_vsa_kernels,4325,2532.6819,2384.0300813410404,3708661522,23758573160
bf16,gpc,6,timestamps_inside_fine_vsa_kernels,4357,2577.1519,2364.229878494377,3708618547,23758804475
bf16,gpc,7,timestamps_inside_fine_vsa_kernels,5275,1950.0724,1948.4793471658768,3705558749,23763663358
pr4691,gpc,0,timestamps_inside_fine_vsa_kernels,2625,2377.2712,2371.8217496380953,3687592202,22107924240
pr4691,gpc,1,timestamps_inside_fine_vsa_kernels,2627,2377.674081,2368.7635760491053,3677356529,22108795424
pr4691,gpc,2,timestamps_inside_fine_vsa_kernels,2626,2377.5539,2372.171093488195,3684194226,22108449187
pr4691,gpc,3,timestamps_inside_fine_vsa_kernels,2630,2377.1879,2368.070306311787,3678729505,22108455451
pr4691,gpc,4,timestamps_inside_fine_vsa_kernels,2552,2553.3474,2442.660832719436,3683545863,22107963618
pr4691,gpc,5,timestamps_inside_fine_vsa_kernels,2518,2542.1029,2479.2668700953136,3679010448,22107449902
pr4691,gpc,6,timestamps_inside_fine_vsa_kernels,2514,2610.628,2482.1539380270488,3663080676,22107764532
pr4691,gpc,7,timestamps_inside_fine_vsa_kernels,3196,1950.0611,1948.3752437421776,3668270298,22111524701
