mode,physical_gpu,fine_kernel_calls,total_ms,mean_ms,max_ms
bf16,0,200,4414.317234,22.071586170000003,22.375417
bf16,1,200,4362.04357,21.81021785,21.924372
bf16,2,200,4354.899405,21.774497025,21.878331
bf16,3,200,4530.938021,22.654690105,23.094986
bf16,4,200,4425.373574,22.12686787,22.38965
bf16,5,200,4320.887269,21.604436345,21.81116
bf16,6,200,4354.885027,21.774425135,22.056568
bf16,7,200,5279.153701,26.395768505,26.49389
pr4691,0,200,2626.328025,13.131640125,13.150319
pr4691,1,200,2629.578486,13.147892429999999,13.166704
pr4691,2,200,2625.379082,13.12689541,13.149844
pr4691,3,200,2630.465108,13.15232554,13.192547
pr4691,4,200,2553.27223,12.76636115,12.975675
pr4691,5,200,2514.896272,12.57448136,12.652107
pr4691,6,200,2512.53103,12.562655150000001,12.746191
pr4691,7,200,3195.071679,15.975358394999999,16.015679
