GPU Model,Node / Cluster,GPU Count,Workload,Precision,Parallelism,Offload,Denoise Steps,E2E (s),Text Encode (s),Visual Encode (s),Audio Encode (s),Latent (s),Denoise (s),VAE Decode (s),Per Step (ms),Peak Memory (GiB),Peak Memory Scope,SM Clock (MHz),Status,Notes
RTX PRO 5000 Blackwell,"8x RTX PRO 5000 Blackwell (sm120, PCIe, dual NUMA)",4,t2va,BF16,TP2 x Ulysses2,none,50,284.01,0.03,n/a,n/a,n/a,278.73,4.36,5688,67.58,per-GPU max (external nvidia-smi),n/a,Passed,"FL2VA; requested 50 / executed 49 denoise updates; CUDNN_ATTN; performance winner; 4.1 GiB headroom"
RTX PRO 5000 Blackwell,"8x RTX PRO 5000 Blackwell (sm120, PCIe, dual NUMA)",4,fl2va first-frame I2VA,BF16,TP2 x Ulysses2,none,50,305.72,0.28,0.00,n/a,n/a,299.85,4.36,6119,67.58,per-GPU max (external nvidia-smi),n/a,Passed,"FL2VA; requested 50 / executed 49 denoise updates; CUDNN_ATTN; performance winner; 4.1 GiB headroom"
RTX PRO 5000 Blackwell,"8x RTX PRO 5000 Blackwell (sm120, PCIe, dual NUMA)",4,t2va,BF16,TP4 x Ulysses1,none,50,329.56,0.03,n/a,n/a,n/a,324.34,4.35,6619,50.25,per-GPU max (external nvidia-smi),n/a,Passed,"Topology alternative; requested 50 / executed 49 denoise updates; CUDNN_ATTN; safer-memory option"
RTX PRO 5000 Blackwell,"8x RTX PRO 5000 Blackwell (sm120, PCIe, dual NUMA)",4,fl2va first-frame I2VA,BF16,TP4 x Ulysses1,none,50,354.18,0.28,0.00,n/a,n/a,348.31,4.35,7108,50.25,per-GPU max (external nvidia-smi),n/a,Passed,"Topology alternative; requested 50 / executed 49 denoise updates; CUDNN_ATTN; safer-memory option"
RTX PRO 5000 Blackwell,"8x RTX PRO 5000 Blackwell (sm120, PCIe, dual NUMA)",8,t2va,BF16,TP2 x Ulysses4,none,50,147.77,0.04,n/a,n/a,n/a,144.06,2.56,2940,70.38,per-GPU max (external nvidia-smi),n/a,Passed,"FL2VA; requested 50 / executed 49 denoise updates; CUDNN_ATTN; performance winner; only 1.3 GiB headroom"
RTX PRO 5000 Blackwell,"8x RTX PRO 5000 Blackwell (sm120, PCIe, dual NUMA)",8,fl2va first-frame I2VA,BF16,TP2 x Ulysses4,none,50,155.70,0.26,0.00,n/a,n/a,151.36,2.57,3089,70.38,per-GPU max (external nvidia-smi),n/a,Passed,"FL2VA; requested 50 / executed 49 denoise updates; CUDNN_ATTN; performance winner; only 1.3 GiB headroom"
RTX PRO 5000 Blackwell,"8x RTX PRO 5000 Blackwell (sm120, PCIe, dual NUMA)",8,t2va,BF16,TP4 x Ulysses2,none,50,163.20,0.04,n/a,n/a,n/a,159.40,2.58,3253,45.83,per-GPU max (external nvidia-smi),n/a,Passed,"Topology alternative; requested 50 / executed 49 denoise updates; CUDNN_ATTN; production recommendation"
RTX PRO 5000 Blackwell,"8x RTX PRO 5000 Blackwell (sm120, PCIe, dual NUMA)",8,fl2va first-frame I2VA,BF16,TP4 x Ulysses2,none,50,171.62,0.27,0.00,n/a,n/a,167.25,2.57,3413,45.83,per-GPU max (external nvidia-smi),n/a,Passed,"Topology alternative; requested 50 / executed 49 denoise updates; CUDNN_ATTN; production recommendation"
RTX PRO 5000 Blackwell,"8x RTX PRO 5000 Blackwell (sm120, PCIe, dual NUMA)",8,t2va,BF16,TP8 x Ulysses1,none,50,250.81,0.05,n/a,n/a,n/a,246.98,2.55,5040,36.53,per-GPU max (external nvidia-smi),n/a,Passed,"Topology alternative; requested 50 / executed 49 denoise updates; CUDNN_ATTN; lowest-memory candidate"
RTX PRO 5000 Blackwell,"8x RTX PRO 5000 Blackwell (sm120, PCIe, dual NUMA)",8,fl2va first-frame I2VA,BF16,TP8 x Ulysses1,none,50,266.65,0.26,0.00,n/a,n/a,262.34,2.55,5354,36.53,per-GPU max (external nvidia-smi),n/a,Passed,"Topology alternative; requested 50 / executed 49 denoise updates; CUDNN_ATTN; lowest-memory candidate"
