mode,metric,physical_gpu,window,sample_count,max_mhz,mean_mhz,first_timestamp_ns,last_timestamp_ns
bf16,gpc,0,full_capture,30790,2377.5283,2200.221511854206,-181381340,32466590032
bf16,gpc,0,timestamps_inside_fine_vsa_kernels,4724,2376.478,2320.5513397121085,3614191779,23796296787
bf16,gpc,1,full_capture,30859,2377.5185,2224.6328788532683,-150580041,32673634424
bf16,gpc,1,timestamps_inside_fine_vsa_kernels,4653,2376.9404,2354.6123062970128,3628837103,23796502187
bf16,gpc,2,full_capture,30560,2377.5783,2239.568808366819,-245537055,32109598851
bf16,gpc,2,timestamps_inside_fine_vsa_kernels,4643,2377.1765,2360.6150138703424,3621722223,23795487755
bf16,gpc,3,full_capture,30618,2377.5509,2179.8160318878113,-212714116,32293363214
bf16,gpc,3,timestamps_inside_fine_vsa_kernels,4866,2370.4178,2255.891315844636,3607764279,23796728331
bf16,gpc,4,full_capture,31296,2585.1996,2260.5929724630623,-39723077,33330163757
bf16,gpc,4,timestamps_inside_fine_vsa_kernels,4732,2525.0497,2320.316938482671,3616624809,23795905418
bf16,gpc,5,full_capture,31401,2592.1416,2315.5114537947834,732735,33508717824
bf16,gpc,5,timestamps_inside_fine_vsa_kernels,4622,2531.4481,2373.020802769364,3616193949,23796190473
bf16,gpc,6,full_capture,31101,2641.5832,2329.5302481704766,-117921378,32849254024
bf16,gpc,6,timestamps_inside_fine_vsa_kernels,4657,2579.8479,2358.330443998282,3600845222,23796300936
bf16,gpc,7,full_capture,29991,1950.086,1946.3911186271882,-76898346,33078264375
bf16,gpc,7,timestamps_inside_fine_vsa_kernels,5617,1950.086,1948.2191443653196,3616096196,23801422153
bf16,sys,0,full_capture,30790,2166.609,1988.2345496186424,-181381340,32466590032
bf16,sys,0,timestamps_inside_fine_vsa_kernels,4724,2162.099,2116.5109784081287,3614191779,23796296787
bf16,sys,1,full_capture,30859,2167.537,2019.4541540608898,-150580041,32673634424
bf16,sys,1,timestamps_inside_fine_vsa_kernels,4653,2167.066,2156.9469767891683,3628837103,23796502187
bf16,sys,2,full_capture,30560,2163.618,2025.9446570109947,-245537055,32109598851
bf16,sys,2,timestamps_inside_fine_vsa_kernels,4643,2162.509,2147.556460262761,3621722223,23795487755
bf16,sys,3,full_capture,30618,2167.56,1988.5215677446927,-212714116,32293363214
bf16,sys,3,timestamps_inside_fine_vsa_kernels,4866,2165.569,2108.0829852034526,3607764279,23796728331
bf16,sys,4,full_capture,31296,2304.219,2006.3435983049592,-39723077,33330163757
bf16,sys,4,timestamps_inside_fine_vsa_kernels,4732,2279.691,2106.5680426880813,3616624809,23795905418
bf16,sys,5,full_capture,31401,2321.325,2039.3108759932168,732735,33508717824
bf16,sys,5,timestamps_inside_fine_vsa_kernels,4622,2289.743,2148.3546722198184,3616193949,23796190473
bf16,sys,6,full_capture,31101,2374.294,2076.795257942092,-117921378,32849254024
bf16,sys,6,timestamps_inside_fine_vsa_kernels,4657,2338.578,2153.7200738672964,3600845222,23796300936
bf16,sys,7,full_capture,29991,1798.863,1741.8743575659698,-76898346,33078264375
bf16,sys,7,timestamps_inside_fine_vsa_kernels,5617,1798.088,1787.2659298557949,3616096196,23801422153
pr4691,gpc,0,full_capture,29363,2377.5277,2214.8319772476925,-190740799,31181831691
