mode,metric,physical_gpu,window,sample_count,max_mhz,mean_mhz,first_timestamp_ns,last_timestamp_ns
bf16,gpc,0,timestamps_inside_fine_vsa_kernels,4724,2376.478,2320.5513397121085,3614191779,23796296787
bf16,gpc,1,timestamps_inside_fine_vsa_kernels,4653,2376.9404,2354.6123062970128,3628837103,23796502187
bf16,gpc,2,timestamps_inside_fine_vsa_kernels,4643,2377.1765,2360.6150138703424,3621722223,23795487755
bf16,gpc,3,timestamps_inside_fine_vsa_kernels,4866,2370.4178,2255.891315844636,3607764279,23796728331
bf16,gpc,4,timestamps_inside_fine_vsa_kernels,4732,2525.0497,2320.316938482671,3616624809,23795905418
bf16,gpc,5,timestamps_inside_fine_vsa_kernels,4622,2531.4481,2373.020802769364,3616193949,23796190473
bf16,gpc,6,timestamps_inside_fine_vsa_kernels,4657,2579.8479,2358.330443998282,3600845222,23796300936
bf16,gpc,7,timestamps_inside_fine_vsa_kernels,5617,1950.086,1948.2191443653196,3616096196,23801422153
pr4691,gpc,0,timestamps_inside_fine_vsa_kernels,2808,2377.2978,2371.4335859330486,3838414972,22326396974
pr4691,gpc,1,timestamps_inside_fine_vsa_kernels,2810,2376.8567,2368.2751275088967,3824493310,22326106252
pr4691,gpc,2,timestamps_inside_fine_vsa_kernels,2810,2377.4841,2372.101108078292,3838245147,22325826613
pr4691,gpc,3,timestamps_inside_fine_vsa_kernels,2821,2376.9478,2368.124051577455,3811602961,22325821292
pr4691,gpc,4,timestamps_inside_fine_vsa_kernels,2745,2541.465,2432.658984553734,3820156566,22325495147
pr4691,gpc,5,timestamps_inside_fine_vsa_kernels,2680,2537.7981,2479.6235287313434,3830148985,22325219032
pr4691,gpc,6,timestamps_inside_fine_vsa_kernels,2684,2571.7824,2480.5721276453055,3839214520,22325233509
pr4691,gpc,7,timestamps_inside_fine_vsa_kernels,3423,1949.9793,1948.2334794040316,3835090190,22330094416
pr4951,gpc,0,timestamps_inside_fine_vsa_kernels,2633,2377.4454,2366.3399514622106,3775900650,22068668114
pr4951,gpc,1,timestamps_inside_fine_vsa_kernels,2629,2377.3696,2368.143616394066,3786466420,22068333446
pr4951,gpc,2,timestamps_inside_fine_vsa_kernels,2655,2377.5747,2370.350760225989,3782155826,22068516246
pr4951,gpc,3,timestamps_inside_fine_vsa_kernels,2686,2377.0548,2333.4944260982875,3779625070,22068625514
pr4951,gpc,4,timestamps_inside_fine_vsa_kernels,2631,2542.8319,2376.3665105663245,3766773413,22067909446
pr4951,gpc,5,timestamps_inside_fine_vsa_kernels,2588,2557.1096,2417.9229760819167,3769993921,22068125473
pr4951,gpc,6,timestamps_inside_fine_vsa_kernels,2585,2593.2508,2419.997675048356,3786299674,22068523536
pr4951,gpc,7,timestamps_inside_fine_vsa_kernels,3207,1950.069,1948.068710695354,3775596227,22071600655
