mode,physical_gpu,calls,total_ms,mean_ms,max_ms,ms_per_gpu_per_step
bf16,0,200,4725.809766,23.62904883,23.910011,1181.4524415
bf16,4,200,4729.348478,23.64674239,23.91413,1182.3371195
bf16,1,200,4656.506066,23.282530329999997,23.477013,1164.1265165
bf16,5,200,4623.936496,23.11968248,23.355574,1155.984124
bf16,2,200,4643.690266,23.218451329999997,23.36221,1160.9225665
bf16,6,200,4654.377878,23.271889390000002,23.591288,1163.5944695
bf16,3,200,4868.125555,24.340627774999998,24.925768,1217.03138875
bf16,7,200,5623.609862,28.11804931,28.159352,1405.9024655
pr4691,0,200,2806.26277,14.03131385,14.047558,701.5656925
pr4691,4,200,2739.366789,13.696833945,13.915003,684.84169725
pr4691,1,200,2810.592735,14.052963675,14.074865,702.64818375
pr4691,5,200,2686.286564,13.43143282,13.533067,671.571641
pr4691,2,200,2804.989448,14.02494724,14.044723,701.247362
pr4691,6,200,2686.036316,13.43018158,13.649294,671.509079
pr4691,3,200,2810.46688,14.052334400000001,14.091587,702.61672
pr4691,7,200,3414.160588,17.07080294,17.096189,853.540147
pr4951,0,200,2642.352395,13.211761975,13.345999,660.58809875
pr4951,4,200,2636.231302,13.18115651,13.440119,659.0578255
pr4951,1,200,2640.633355,13.203166775,13.251599,660.15833875
pr4951,5,200,2590.259427,12.951297134999999,13.13971,647.56485675
pr4951,2,200,2637.594042,13.187970210000001,13.380724,659.3985105
pr4951,6,200,2588.670779,12.943353895,13.173738,647.16769475
pr4951,3,200,2680.424045,13.402120224999999,13.6593,670.10601125
pr4951,7,200,3206.57211,16.032860550000002,16.29931,801.6430275
