Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
48.6,118208626541,9800,12062104.7,11993894.0,10715088,13553088,327330.0,fmhaSm103aKernel_QkvE4m3OBfloat16H128SeparateQkvDenseVarSeqQ128Kv128SageQ1SageK16SageV1PersistentContext
19.9,48324954632,29397,1643873.7,1861769.0,571843,2582285,749046.3,nvjet_sm103_tst_128x256_64x6_2x1_2cta_v_bz_TNT
8.1,19721017289,39191,503202.7,399234.0,318945,4647093,261243.4,ncclDevKernel_SendRecv(ncclDevKernelArgsStorage<(unsigned long)4096>)
5.5,13386366428,49377,271105.3,268609.0,3264,328578,27001.7,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
5.4,13032026917,9800,1329798.7,1330358.5,1250501,1439719,25967.4,nvjet_sm103_tst_192x288_64x5_2x1_2cta_v_bz_TNT
4.5,10897135529,9797,1112293.1,1102662.0,976964,1307527,50685.1,triton_poi_fused__fused_rms_norm__to_copy_add_cat_cos_mul_neg_sin_slice_split_split_with_sizes_unsqueeze_view_2
0.9,2308980823,9797,235682.4,235297.0,212961,250817,4218.6,triton_red_fused__fused_rms_norm_split_with_sizes_view_0
0.9,2307644462,9797,235546.0,235457.0,212897,251457,4218.3,triton_red_fused__fused_rms_norm_split_with_sizes_view_1
0.9,2216086448,10186,217562.0,224129.0,2016,256353,43436.8,triton_poi_fused_mul_silu_split_1
0.9,2144405770,9800,218816.9,216545.0,191169,256737,10423.4,triton_red_fused__fused_rms_norm_add_index_select_mul_0
0.7,1664710408,9800,169868.4,172513.0,145440,189440,7959.9,"void flashinfer::trtllm::sageQuantQkvKernel<cutlass::bfloat16_t, cutlass::float_e4m3_t, (int)1, (int)128, (bool)0, (int)1>(int, const void *, void *, float *, float *, int, int, const void *, void *, float *)"
0.7,1621856767,9800,165495.6,165185.0,157472,174753,2175.9,"void flashinfer::trtllm::sageQuantQkvKernel<cutlass::bfloat16_t, cutlass::float_e4m3_t, (int)16, (int)128, (bool)0, (int)2>(int, const void *, void *, float *, float *, int, int, const void *, void *, float *)"
0.5,1130071466,9800,115313.4,114177.0,104609,132289,4438.3,triton_poi_fused_add_index_select_mul_2
0.4,950820036,9797,97052.2,96288.0,83905,110849,3852.9,triton_red_fused__fused_rms_norm_add_index_select_mul_split_view_1
0.3,824217118,9600,85855.9,85857.0,83040,89825,822.6,nvjet_sm103_tst_64x8_64x16_2x1_v_bz_bias_TNT
0.3,623999797,9993,62443.7,60160.0,54304,185153,16001.7,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::FillFunctor<c10::BFloat16>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.2,518498687,579,895507.2,30688.0,4032,2942606,1243235.9,"void at::native::indexFuncLargeIndex<c10::BFloat16, long, unsigned int, (int)2, (int)2, (int)-2, (bool)1, at::native::<unnamed>::ReduceAdd>(at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<const T1, T3>, at::cuda::detail::TensorInfo<const T2, T3>, int, int, T3, T3, long, long, const T8 &, T1)"
0.2,394812663,392,1007175.2,998180.5,569666,1596520,413260.7,cutlass3x_sm100_simt_sgemm_f32_f32_f32_f32_f32_32x64x16_1x1x1_3_tnn_align1_bias_f32_relu
0.2,377520409,9797,38534.3,38272.0,33984,44992,1667.7,triton_poi_fused__fused_rms_norm__to_copy_add_cat_cos_mul_sin_slice_split_with_sizes_unsqueeze_view_3
0.2,373818287,9797,38156.4,37760.0,33440,46016,1985.3,triton_poi_fused__fused_rms_norm__to_copy_add_cat_cos_mul_sin_slice_split_with_sizes_unsqueeze_view_4
0.1,302155987,193,1565575.1,1545543.0,1380326,1797769,68624.8,cutlass3x_sm100_simt_sgemm_f32_f32_f32_f32_f32_128x128x16_1x1x1_3_tnn_align1_bias_f32_relu
0.1,260658753,973,267891.8,12416.0,2336,1354310,512732.5,"void cublasLt::epilogue::impl::globalKernel<(int)8, (int)32, float, float, float, (bool)1, (bool)1, (int)1>(int, int, long, T3 *, cublasLtEpilogue_t, int, T4 *, long, void *, long, long, long, T5 *, long, int *)"
0.1,183662441,196,937053.3,927764.5,848611,1164901,60036.3,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
0.1,173998813,407,427515.5,5440.0,2272,952805,439228.5,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.0,112520602,2354,47799.7,34464.0,1888,208545,66914.6,"void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, long, long, bool)"
0.0,106271413,9800,10844.0,10720.0,9088,13440,777.5,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<long, at::native::func_wrapper_t<long, at::native::sum_functor<long, long, long>::operator ()(at::TensorIterator &)::[lambda(long, long) (instance 1)]>, unsigned int, long, (int)4, (int)4>>(T3)"
0.0,106078092,12152,8729.3,8993.0,4032,11040,1369.7,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::and_kernel_cuda(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(bool, bool) (instance 1)]>, unsigned int, bool, (int)4, (int)4>>(T3)"
0.0,56306750,196,287279.3,287729.0,281601,291137,2151.4,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::CUDAFunctor_add<c10::BFloat16>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.0,55566854,196,283504.4,283713.0,279073,289569,2224.7,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
