Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
39.5,87892373670,8600,10220043.4,10214333.5,8689862,12190678,455353.4,fmhaSm103aKernel_QkvE4m3OBfloat16H128SeparateQkvDenseVarSeqSkipsSoftmaxQ128Kv128SageQ1SageK16SageV1PersistentContext
21.4,47643223039,29397,1620683.2,1835336.0,560771,2529259,746400.1,nvjet_sm103_tst_128x256_64x6_2x1_2cta_v_bz_TNT
8.3,18441916759,39191,470565.1,362178.0,311297,3855121,250185.8,ncclDevKernel_SendRecv(ncclDevKernelArgsStorage<(unsigned long)4096>)
6.5,14398502114,1200,11998751.8,11950565.0,10716976,13262555,334262.0,fmhaSm103aKernel_QkvE4m3OBfloat16H128SeparateQkvDenseVarSeqQ128Kv128SageQ1SageK16SageV1PersistentContext
5.8,12934706524,9800,1319868.0,1318086.0,1212966,1419238,33784.5,nvjet_sm103_tst_192x288_64x5_2x1_2cta_v_bz_TNT
5.7,12643495744,49377,256060.4,253249.0,3200,322369,25058.9,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
4.5,10016060526,9797,1022360.0,1008741.0,971589,1275685,40142.1,triton_poi_fused__fused_rms_norm__to_copy_add_cat_cos_mul_neg_sin_slice_split_split_with_sizes_unsqueeze_view_2
1.0,2188465236,9797,223381.2,223297.0,212321,246818,6757.8,triton_red_fused__fused_rms_norm_split_with_sizes_view_0
1.0,2187614196,9797,223294.3,223329.0,212225,246721,6767.0,triton_red_fused__fused_rms_norm_split_with_sizes_view_1
0.9,2071557886,10186,203373.0,208929.0,1888,250594,40419.1,triton_poi_fused_mul_silu_split_1
0.9,1962678046,9800,200273.3,197633.0,190113,249857,8089.7,triton_red_fused__fused_rms_norm_add_index_select_mul_0
0.7,1597754312,9800,163036.2,164896.0,143169,187712,7822.2,"void flashinfer::trtllm::sageQuantQkvKernel<cutlass::bfloat16_t, cutlass::float_e4m3_t, (int)1, (int)128, (bool)0, (int)1>(int, const void *, void *, float *, float *, int, int, const void *, void *, float *)"
0.7,1574439215,9800,160657.1,160129.0,156929,173248,2258.3,"void flashinfer::trtllm::sageQuantQkvKernel<cutlass::bfloat16_t, cutlass::float_e4m3_t, (int)16, (int)128, (bool)0, (int)2>(int, const void *, void *, float *, float *, int, int, const void *, void *, float *)"
0.5,1058153270,9800,107974.8,106864.5,103712,129536,3266.1,triton_poi_fused_add_index_select_mul_2
0.4,884647889,9797,90297.8,89441.0,83841,108960,2996.1,triton_red_fused__fused_rms_norm_add_index_select_mul_split_view_1
0.4,818421550,9600,85252.2,85280.0,82305,88193,813.9,nvjet_sm103_tst_64x8_64x16_2x1_v_bz_bias_TNT
0.3,590784516,9993,59119.8,57120.0,53952,179905,14907.8,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::FillFunctor<c10::BFloat16>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.2,484907432,579,837491.2,28000.0,3808,2785612,1163045.8,"void at::native::indexFuncLargeIndex<c10::BFloat16, long, unsigned int, (int)2, (int)2, (int)-2, (bool)1, at::native::<unnamed>::ReduceAdd>(at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<const T1, T3>, at::cuda::detail::TensorInfo<const T2, T3>, int, int, T3, T3, long, long, const T8 &, T1)"
0.2,365200637,392,931634.3,948804.0,543682,1507430,375442.4,cutlass3x_sm100_simt_sgemm_f32_f32_f32_f32_f32_32x64x16_1x1x1_3_tnn_align1_bias_f32_relu
0.2,347829077,9797,35503.6,35009.0,33920,44161,1356.1,triton_poi_fused__fused_rms_norm__to_copy_add_cat_cos_mul_sin_slice_split_with_sizes_unsqueeze_view_3
0.2,345723199,9797,35288.7,34592.0,33248,43328,1657.9,triton_poi_fused__fused_rms_norm__to_copy_add_cat_cos_mul_sin_slice_split_with_sizes_unsqueeze_view_4
0.1,274658084,193,1423098.9,1404262.0,1376070,1688008,57246.3,cutlass3x_sm100_simt_sgemm_f32_f32_f32_f32_f32_128x128x16_1x1x1_3_tnn_align1_bias_f32_relu
0.1,250716985,978,256356.8,11504.0,2176,1328262,492566.2,"void cublasLt::epilogue::impl::globalKernel<(int)8, (int)32, float, float, float, (bool)1, (bool)1, (int)1>(int, int, long, T3 *, cublasLtEpilogue_t, int, T4 *, long, void *, long, long, long, T5 *, long, int *)"
0.1,174162106,196,888582.2,885460.0,821764,1034404,47244.0,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
0.1,163778446,422,388100.6,5120.0,2176,916676,412397.5,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.0,105931944,2354,45000.8,31777.0,1792,200704,63254.8,"void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, long, long, bool)"
