Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
44.4,112809779830,8600,13117416.3,13113885.5,12158779,14651203,274810.5,fmhaSm103aKernel_QkvBfloat16OBfloat16H128SeparateQkvDenseVarSeqSkipsSoftmaxQ128Kv128PersistentContext
18.9,48118089231,29397,1636836.7,1851849.0,564962,2766956,748635.2,nvjet_sm103_tst_128x256_64x6_2x1_2cta_v_bz_TNT
7.8,19685494947,1586,12412039.7,16178553.0,6048,18038769,7052850.7,fmhaSm103aKernel_QkvBfloat16OBfloat16H128SeparateQkvDenseVarSeqQ128Kv128PersistentContext
7.7,19659174575,39191,501624.7,400546.0,314657,4265235,266482.9,ncclDevKernel_SendRecv(ncclDevKernelArgsStorage<(unsigned long)4096>)
5.3,13354829818,49377,270466.6,268065.0,3232,347810,28111.0,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
5.1,13029019951,9800,1329491.8,1328358.0,1214886,1503655,33206.8,nvjet_sm103_tst_192x288_64x5_2x1_2cta_v_bz_TNT
4.3,10853956592,9797,1107885.7,1090789.0,977156,1400934,69729.9,triton_poi_fused__fused_rms_norm__to_copy_add_cat_cos_mul_neg_sin_slice_split_split_with_sizes_unsqueeze_view_2
0.9,2301317717,9797,234900.2,234817.0,213057,253346,5990.3,triton_red_fused__fused_rms_norm_split_with_sizes_view_0
0.9,2299992659,9797,234765.0,234625.0,212929,253025,5982.8,triton_red_fused__fused_rms_norm_split_with_sizes_view_1
0.9,2206690371,10186,216639.5,222081.0,1984,272514,43932.4,triton_poi_fused_mul_silu_split_1
0.8,2134837704,9800,217840.6,214273.0,191105,276706,14487.5,triton_red_fused__fused_rms_norm_add_index_select_mul_0
0.4,1124620731,9800,114757.2,113056.0,104160,142849,6128.5,triton_poi_fused_add_index_select_mul_2
0.4,947811293,9797,96745.1,95488.0,83680,117760,5174.0,triton_red_fused__fused_rms_norm_add_index_select_mul_split_view_1
0.3,825000488,9600,85937.6,85952.0,82240,89472,913.2,nvjet_sm103_tst_64x8_64x16_2x1_v_bz_bias_TNT
0.2,622251424,9993,62268.7,60096.0,54368,185505,15477.4,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::FillFunctor<c10::BFloat16>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.2,502387436,579,867681.2,28992.0,4000,2986989,1205639.9,"void at::native::indexFuncLargeIndex<c10::BFloat16, long, unsigned int, (int)2, (int)2, (int)-2, (bool)1, at::native::<unnamed>::ReduceAdd>(at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<const T1, T3>, at::cuda::detail::TensorInfo<const T2, T3>, int, int, T3, T3, long, long, const T8 &, T1)"
0.1,380902646,392,971690.4,999796.5,553635,1699432,397345.5,cutlass3x_sm100_simt_sgemm_f32_f32_f32_f32_f32_32x64x16_1x1x1_3_tnn_align1_bias_f32_relu
0.1,375892948,9797,38368.2,37888.0,34112,48257,2330.0,triton_poi_fused__fused_rms_norm__to_copy_add_cat_cos_mul_sin_slice_split_with_sizes_unsqueeze_view_3
0.1,373141195,9797,38087.3,37600.0,33249,50400,2609.4,triton_poi_fused__fused_rms_norm__to_copy_add_cat_cos_mul_sin_slice_split_with_sizes_unsqueeze_view_4
0.1,289084389,193,1497846.6,1462951.0,1379302,1922761,93833.9,cutlass3x_sm100_simt_sgemm_f32_f32_f32_f32_f32_128x128x16_1x1x1_3_tnn_align1_bias_f32_relu
0.1,256811274,982,261518.6,12000.0,2240,1387622,503454.4,"void cublasLt::epilogue::impl::globalKernel<(int)8, (int)32, float, float, float, (bool)1, (bool)1, (int)1>(int, int, long, T3 *, cublasLtEpilogue_t, int, T4 *, long, void *, long, long, long, T5 *, long, int *)"
0.1,183438431,196,935910.4,910964.5,838020,1531335,111201.4,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
0.1,169607895,434,390801.6,5280.0,2336,989765,426267.8,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.0,109875559,2354,46676.1,33472.0,1824,217121,65381.2,"void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, long, long, bool)"
0.0,105934513,9800,10809.6,10688.0,8928,14113,854.3,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<long, at::native::func_wrapper_t<long, at::native::sum_functor<long, long, long>::operator ()(at::TensorIterator &)::[lambda(long, long) (instance 1)]>, unsigned int, long, (int)4, (int)4>>(T3)"
0.0,105244082,12152,8660.6,8928.0,4000,11584,1417.7,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::and_kernel_cuda(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(bool, bool) (instance 1)]>, unsigned int, bool, (int)4, (int)4>>(T3)"
