Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
55.0,161746938837,10186,15879338.2,16442191.0,6144,18090072,3189352.0,fmhaSm103aKernel_QkvBfloat16OBfloat16H128SeparateQkvDenseVarSeqQ128Kv128PersistentContext
16.9,49545334994,29397,1685387.5,1889929.0,579875,2830126,768708.8,nvjet_sm103_tst_128x256_64x6_2x1_2cta_v_bz_TNT
8.5,25058602101,39191,639396.9,444226.0,315234,4773685,377001.3,ncclDevKernel_SendRecv(ncclDevKernelArgsStorage<(unsigned long)4096>)
4.9,14364058968,49377,290905.9,289089.0,3328,354241,29687.1,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
4.6,13381466621,9800,1365455.8,1360582.0,1257062,1554248,40098.6,nvjet_sm103_tst_192x288_64x5_2x1_2cta_v_bz_TNT
4.1,12132643195,9797,1238403.9,1233894.0,976964,1431590,58615.2,triton_poi_fused__fused_rms_norm__to_copy_add_cat_cos_mul_neg_sin_slice_split_split_with_sizes_unsqueeze_view_2
0.8,2401470977,10186,235761.9,243265.0,2144,278177,47349.6,triton_poi_fused_mul_silu_split_1
0.8,2393899653,9797,244350.3,244225.0,213089,258753,4073.1,triton_red_fused__fused_rms_norm_split_with_sizes_view_0
0.8,2392602903,9797,244217.9,244033.0,213025,258498,4104.7,triton_red_fused__fused_rms_norm_split_with_sizes_view_1
0.8,2389241928,9800,243800.2,242689.5,191169,282369,12574.6,triton_red_fused__fused_rms_norm_add_index_select_mul_0
0.4,1234125384,9800,125931.2,125328.5,104257,145856,5678.8,triton_poi_fused_add_index_select_mul_2
0.4,1038614371,9797,106013.5,105665.0,83840,121505,4546.1,triton_red_fused__fused_rms_norm_add_index_select_mul_split_view_1
0.3,832400991,9600,86708.4,86720.0,83424,89825,972.3,nvjet_sm103_tst_64x8_64x16_2x1_v_bz_bias_TNT
0.2,648976716,9993,64943.1,62560.0,54496,190337,16523.8,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::FillFunctor<c10::BFloat16>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.2,559287040,579,965953.4,33792.0,4128,3117870,1341283.8,"void at::native::indexFuncLargeIndex<c10::BFloat16, long, unsigned int, (int)2, (int)2, (int)-2, (bool)1, at::native::<unnamed>::ReduceAdd>(at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<const T1, T3>, at::cuda::detail::TensorInfo<const T2, T3>, int, int, T3, T3, long, long, const T8 &, T1)"
0.1,431986061,392,1102005.3,1062309.0,596643,1732360,460590.5,cutlass3x_sm100_simt_sgemm_f32_f32_f32_f32_f32_32x64x16_1x1x1_3_tnn_align1_bias_f32_relu
0.1,418153128,9797,42681.8,42560.0,34112,49504,2004.1,triton_poi_fused__fused_rms_norm__to_copy_add_cat_cos_mul_sin_slice_split_with_sizes_unsqueeze_view_3
0.1,415909298,9797,42452.7,42048.0,33248,50816,2536.8,triton_poi_fused__fused_rms_norm__to_copy_add_cat_cos_mul_sin_slice_split_with_sizes_unsqueeze_view_4
0.1,337607059,193,1749259.4,1744296.0,1379014,1952394,81818.3,cutlass3x_sm100_simt_sgemm_f32_f32_f32_f32_f32_128x128x16_1x1x1_3_tnn_align1_bias_f32_relu
0.1,269609439,976,276239.2,13216.0,2400,1397799,529223.5,"void cublasLt::epilogue::impl::globalKernel<(int)8, (int)32, float, float, float, (bool)1, (bool)1, (int)1>(int, int, long, T3 *, cublasLtEpilogue_t, int, T4 *, long, void *, long, long, long, T5 *, long, int *)"
0.1,220696269,196,1126001.4,1080565.0,896612,1573191,167020.8,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
0.1,184962537,416,444621.5,5616.0,2464,1002757,466354.4,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.0,118192826,2354,50209.4,35728.5,1984,218625,70728.3,"void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, long, long, bool)"
