physical_gpu,rank,case,gpu_span_ms,gpu_start_ns,gpu_end_ns,transfer_interiors_ms,compute_overlapping_transfer_ms,nvtx_start_ns,selection,note
0,0,forward_serial,16.729839,18069657143,18086386982,9.507446,0.0,18069621431,Median GPU span of last three invocations (two warmed calls and one timed call in this profile).,"Kernel times from GPU events, scope via CUDA correlation + process + same-thread containing NVTX. Transfer windows are barrier interiors, not wire counters."
0,0,forward_overlap,10.798389,18058604546,18069402935,9.624631,2.430781,18058315248,Median GPU span of last three invocations (two warmed calls and one timed call in this profile).,"Kernel times from GPU events, scope via CUDA correlation + process + same-thread containing NVTX. Transfer windows are barrier interiors, not wire counters."
0,0,reverse_serial,8.364504,18626373628,18634738132,3.237789,0.0,18626305747,Median GPU span of last three invocations (two warmed calls and one timed call in this profile).,"Kernel times from GPU events, scope via CUDA correlation + process + same-thread containing NVTX. Transfer windows are barrier interiors, not wire counters."
0,0,reverse_overlap,6.157754,18669366483,18675524237,4.1343,3.245181,18669334610,Median GPU span of last three invocations (two warmed calls and one timed call in this profile).,"Kernel times from GPU events, scope via CUDA correlation + process + same-thread containing NVTX. Transfer windows are barrier interiors, not wire counters."
1,2,forward_serial,16.725212,18069657108,18086382320,9.512414,0.0,18069626031,Median GPU span of last three invocations (two warmed calls and one timed call in this profile).,"Kernel times from GPU events, scope via CUDA correlation + process + same-thread containing NVTX. Transfer windows are barrier interiors, not wire counters."
1,2,forward_overlap,10.810494,18058592343,18069402837,9.631551,2.443008,18058302158,Median GPU span of last three invocations (two warmed calls and one timed call in this profile).,"Kernel times from GPU events, scope via CUDA correlation + process + same-thread containing NVTX. Transfer windows are barrier interiors, not wire counters."
1,2,reverse_serial,8.527614,18520579861,18529107475,3.237311,0.0,18515907972,Median GPU span of last three invocations (two warmed calls and one timed call in this profile).,"Kernel times from GPU events, scope via CUDA correlation + process + same-thread containing NVTX. Transfer windows are barrier interiors, not wire counters."
1,2,reverse_overlap,6.159774,18669364183,18675523957,4.109567,3.222592,18669334510,Median GPU span of last three invocations (two warmed calls and one timed call in this profile).,"Kernel times from GPU events, scope via CUDA correlation + process + same-thread containing NVTX. Transfer windows are barrier interiors, not wire counters."
2,4,forward_serial,16.716542,18069650076,18086366618,9.504478,0.0,18069619431,Median GPU span of last three invocations (two warmed calls and one timed call in this profile).,"Kernel times from GPU events, scope via CUDA correlation + process + same-thread containing NVTX. Transfer windows are barrier interiors, not wire counters."
2,4,forward_overlap,10.804159,18058579613,18069383772,9.626559,2.43232,18058286548,Median GPU span of last three invocations (two warmed calls and one timed call in this profile).,"Kernel times from GPU events, scope via CUDA correlation + process + same-thread containing NVTX. Transfer windows are barrier interiors, not wire counters."
