reference,candidate,measurement,reference_s,candidate_s,delta_s,latency_reduction_percent,speedup
bf16-base,bf16-overlap,normal_e2e,25.761333333333333,25.135333333333335,-0.6259999999999977,2.429998447285331,1.0249051799591544
bf16-base,bf16-overlap,dit_untraced,18.948946,18.293431,-0.6555149999999976,3.459374468637977,1.0358333546069076
fp8-base,fp8-overlap,normal_e2e,20.984666666666666,20.586333333333332,-0.39833333333333343,1.8982113924452815,1.0193494065642255
fp8-base,fp8-overlap,dit_untraced,14.305261,13.830493,-0.4747679999999992,3.3188349377197612,1.0343276266435333
bf16-base,fp8-base,normal_e2e,25.761333333333333,20.984666666666666,-4.776666666666667,18.5420009316288,1.227626520951806
bf16-base,fp8-base,dit_untraced,18.948946,14.305261,-4.643685,24.506297078476024,1.3246137906886144
bf16-overlap,fp8-overlap,normal_e2e,25.135333333333335,20.586333333333332,-4.549000000000003,18.098029334535724,1.2209718421606568
bf16-overlap,fp8-overlap,dit_untraced,18.293431,13.830493,-4.462938000000001,24.39639671748838,1.3226882801647057
bf16-base,fp8-overlap,normal_e2e,25.761333333333333,20.586333333333332,-5.175000000000001,20.08824595000259,1.2513803656147282
bf16-base,fp8-overlap,dit_untraced,18.948946,13.830493,-5.118452999999999,27.011808466813925,1.3700846383422485
