mode,metric,physical_gpu,window,sample_count,max_mhz,mean_mhz,first_timestamp_ns,last_timestamp_ns
bf16-base,gpc,0,full_capture,29039,2377.5374,2208.7872009694547,-182255295,30835689332
bf16-base,gpc,0,timestamps_inside_fine_vsa_kernels,2638,2377.3191,2366.615141243366,3764874436,22084821733
bf16-base,gpc,1,full_capture,29170,2377.5293,2226.968657981899,-152718510,31031134207
bf16-base,gpc,1,timestamps_inside_fine_vsa_kernels,2641,2377.3253,2368.054415858387,3762535875,22085363246
bf16-base,gpc,2,full_capture,28893,2377.56,2240.5990521587237,-237419266,30430202405
bf16-base,gpc,2,timestamps_inside_fine_vsa_kernels,2641,2377.56,2370.410389700871,3768769616,22085379840
bf16-base,gpc,3,full_capture,28902,2377.5205,2194.8478225594768,-210501477,30611553147
bf16-base,gpc,3,timestamps_inside_fine_vsa_kernels,2686,2377.0224,2330.652892702904,3772064903,22085334644
bf16-base,gpc,4,full_capture,29628,2586.2643,2272.590282219826,-40620363,31707277720
bf16-base,gpc,4,timestamps_inside_fine_vsa_kernels,2643,2542.6632,2368.8409830874007,3773258804,22085256537
bf16-base,gpc,5,full_capture,29733,2591.81,2325.0974506794137,919613,31927403169
bf16-base,gpc,5,timestamps_inside_fine_vsa_kernels,2593,2554.2046,2417.2233921326647,3776500347,22084587081
bf16-base,gpc,6,full_capture,29396,2642.4253,2336.9020411945503,-121037503,31240251972
bf16-base,gpc,6,timestamps_inside_fine_vsa_kernels,2590,2613.1655,2420.4007642471042,3776433243,22084397265
bf16-base,gpc,7,full_capture,28287,1950.0518,1946.3366275400715,-78966524,31464088822
bf16-base,gpc,7,timestamps_inside_fine_vsa_kernels,3201,1950.0305,1948.2195528897219,3749897128,22088163556
bf16-base,sys,0,full_capture,29039,2163.863,1987.325482420469,-182255295,30835689332
bf16-base,sys,0,timestamps_inside_fine_vsa_kernels,2638,2162.992,2142.9139696739953,3764874436,22084821733
bf16-base,sys,1,full_capture,29170,2167.536,2014.0891618477203,-152718510,31031134207
bf16-base,sys,1,timestamps_inside_fine_vsa_kernels,2641,2167.346,2161.612771031049,3762535875,22085363246
bf16-base,sys,2,full_capture,28893,2164.834,2024.8043248891772,-237419266,30430202405
