mode,metric,physical_gpu,window,sample_count,max_mhz,mean_mhz,first_timestamp_ns,last_timestamp_ns
bf16-base,gpc,0,timestamps_inside_fine_vsa_kernels,2638,2377.3191,2366.615141243366,3764874436,22084821733
bf16-base,gpc,1,timestamps_inside_fine_vsa_kernels,2641,2377.3253,2368.054415858387,3762535875,22085363246
bf16-base,gpc,2,timestamps_inside_fine_vsa_kernels,2641,2377.56,2370.410389700871,3768769616,22085379840
bf16-base,gpc,3,timestamps_inside_fine_vsa_kernels,2686,2377.0224,2330.652892702904,3772064903,22085334644
bf16-base,gpc,4,timestamps_inside_fine_vsa_kernels,2643,2542.6632,2368.8409830874007,3773258804,22085256537
bf16-base,gpc,5,timestamps_inside_fine_vsa_kernels,2593,2554.2046,2417.2233921326647,3776500347,22084587081
bf16-base,gpc,6,timestamps_inside_fine_vsa_kernels,2590,2613.1655,2420.4007642471042,3776433243,22084397265
bf16-base,gpc,7,timestamps_inside_fine_vsa_kernels,3201,1950.0305,1948.2195528897219,3749897128,22088163556
bf16-overlap,gpc,0,timestamps_inside_fine_vsa_kernels,2678,2377.0864,2334.431527445855,3916282806,21700890847
bf16-overlap,gpc,1,timestamps_inside_fine_vsa_kernels,2647,2377.4563,2360.6042405364565,3890889165,21701099380
bf16-overlap,gpc,2,timestamps_inside_fine_vsa_kernels,2653,2377.5069,2365.4025090463624,3910607044,21701101859
bf16-overlap,gpc,3,timestamps_inside_fine_vsa_kernels,2757,2375.2394,2273.0732319550234,3906391183,21701772810
bf16-overlap,gpc,4,timestamps_inside_fine_vsa_kernels,2679,2539.7103,2325.330782008212,3910931925,21700829495
bf16-overlap,gpc,5,timestamps_inside_fine_vsa_kernels,2642,2548.4741,2378.725582664648,3914410153,21701132807
bf16-overlap,gpc,6,timestamps_inside_fine_vsa_kernels,2650,2591.3856,2377.1816649433963,3922385378,21701146093
bf16-overlap,gpc,7,timestamps_inside_fine_vsa_kernels,3207,1950.0691,1948.1014540380418,3922630295,21704292373
fp8-base,gpc,0,timestamps_inside_fine_vsa_kernels,2636,2377.4136,2369.16977245827,3535525730,17376123112
fp8-base,gpc,1,timestamps_inside_fine_vsa_kernels,2646,2377.3851,2368.485982010582,3523476713,17376776425
fp8-base,gpc,2,timestamps_inside_fine_vsa_kernels,2635,2377.5394,2370.938989297913,3526799151,17376067261
fp8-base,gpc,3,timestamps_inside_fine_vsa_kernels,2654,2377.4587,2360.1457850037677,3516203421,17376684769
fp8-base,gpc,4,timestamps_inside_fine_vsa_kernels,2617,2546.8127,2395.5889275124186,3531024849,17375842758
fp8-base,gpc,5,timestamps_inside_fine_vsa_kernels,2581,2543.3601,2423.416029910887,3522988250,17375612673
fp8-base,gpc,6,timestamps_inside_fine_vsa_kernels,2570,2593.042035,2439.214618418288,3530821794,17375826218
fp8-base,gpc,7,timestamps_inside_fine_vsa_kernels,3205,1950.0528,1948.1921045553822,3517267378,17379828382
fp8-overlap,gpc,0,timestamps_inside_fine_vsa_kernels,2647,2377.3823,2368.679858103513,3687588232,17106568202
fp8-overlap,gpc,1,timestamps_inside_fine_vsa_kernels,2640,2377.3571,2368.3767300757577,3695419250,17106571392
fp8-overlap,gpc,2,timestamps_inside_fine_vsa_kernels,2639,2377.4593,2370.6374752557786,3689746471,17106196372
fp8-overlap,gpc,3,timestamps_inside_fine_vsa_kernels,2649,2376.2037,2358.6529002265006,3684718111,17106236466
fp8-overlap,gpc,4,timestamps_inside_fine_vsa_kernels,2613,2542.202,2394.112142288557,3702098035,17106417902
fp8-overlap,gpc,5,timestamps_inside_fine_vsa_kernels,2584,2552.6111,2423.3296089396285,3689748792,17105986597
fp8-overlap,gpc,6,timestamps_inside_fine_vsa_kernels,2575,2593.2158,2437.2746267184466,3699904344,17106175833
fp8-overlap,gpc,7,timestamps_inside_fine_vsa_kernels,3208,1950.0717,1948.151022225686,3689964238,17109150952
