mode,measurement,repeats,mean_s,median_s,min_s,max_s,samples_s,dit_s,decode_s,peak_gpu_mib
bf16-base,normal,3,25.761333333333333,25.747,25.684,25.853,"[25.684, 25.853, 25.747]",-,-,61193
bf16-base,stages,3,25.745,25.693,25.618,25.924,"[25.693, 25.924, 25.618]",18.948946,6.587505,61193
bf16-base,nsys,1,26.308,26.308,26.308,26.308,[26.308],19.197926,6.889207,61143
bf16-overlap,normal,3,25.135333333333335,25.17,25.047,25.189,"[25.17, 25.047, 25.189]",-,-,63759
bf16-overlap,stages,3,25.165333333333333,25.092,25.047,25.357,"[25.092, 25.047, 25.357]",18.293431,6.661873,63799
bf16-overlap,nsys,1,26.097,26.097,26.097,26.097,[26.097],18.752314,7.111113,63747
fp8-base,normal,3,20.984666666666666,21.027,20.9,21.027,"[21.027, 20.9, 21.027]",-,-,42939
fp8-base,stages,3,20.900333333333332,20.884,20.882,20.935,"[20.935, 20.884, 20.882]",14.305261,6.382993,42941
fp8-base,nsys,1,21.58,21.58,21.58,21.58,[21.58],14.518290,6.832651,42969
fp8-overlap,normal,3,20.586333333333332,20.561,20.502,20.696,"[20.502, 20.561, 20.696]",-,-,45451
fp8-overlap,stages,3,20.513666666666666,20.51,20.505,20.526,"[20.505, 20.526, 20.51]",13.830493,6.470316,45449
fp8-overlap,nsys,1,20.994,20.994,20.994,20.994,[20.994],14.026639,6.743624,45493
