mode,physical_gpu,calls,total_ms,mean_ms,max_ms,ms_per_gpu_per_step
bf16-base,0,200,2641.734092,13.20867046,13.308177,660.433523
bf16-base,4,200,2644.319766,13.22159883,13.435838,661.0799415
bf16-base,1,200,2640.484171,13.202420855,13.369725,660.12104275
bf16-base,5,200,2590.850577,12.954252884999999,13.098988,647.71264425
bf16-base,2,200,2637.013562,13.185067810000001,13.358997,659.2533905
bf16-base,6,200,2587.777722,12.93888861,13.135633,646.9444305
bf16-base,3,200,2683.316511,13.416582555,13.679206,670.82912775
bf16-base,7,200,3205.220919,16.026104595,16.240226,801.30522975
bf16-overlap,0,200,2681.511375,13.407556875,13.710769,670.37784375
bf16-overlap,4,200,2694.413241,13.472066205,13.73864,673.60331025
bf16-overlap,1,200,2649.452448,13.24726224,13.417791,662.363112
bf16-overlap,5,200,2635.240825,13.176204125,13.399936,658.81020625
bf16-overlap,2,200,2643.307168,13.21653584,13.378427,660.826792
bf16-overlap,6,200,2637.510683,13.187553414999998,13.566219,659.37767075
bf16-overlap,3,200,2756.477068,13.78238534,14.197471,689.119267
bf16-overlap,7,200,3206.414323,16.032071615,16.26011,801.60358075
fp8-base,0,200,2638.618531,13.193092655,13.394534,659.65463275
fp8-base,4,200,2614.523684,13.07261842,13.151506,653.630921
fp8-base,1,200,2639.520847,13.197604235,13.366068,659.88021175
fp8-base,5,200,2583.346365,12.916731825,12.995679,645.83659125
fp8-base,2,200,2636.820894,13.184104470000001,13.367151,659.2052235
fp8-base,6,200,2567.331328,12.836656640000001,12.976607,641.832832
fp8-base,3,200,2648.179416,13.24089708,13.29513,662.044854
fp8-base,7,200,3207.061827,16.035309135,16.297348,801.76545675
fp8-overlap,0,200,2639.524616,13.19762308,13.399105,659.881154
fp8-overlap,4,200,2616.124274,13.08062137,13.289039,654.0310685
fp8-overlap,1,200,2639.632225,13.198161125,13.256395,659.90805625
fp8-overlap,5,200,2584.545529,12.922727645,12.995702,646.13638225
fp8-overlap,2,200,2636.686321,13.183431605,13.247021,659.17158025
fp8-overlap,6,200,2569.711452,12.84855726,13.018819,642.427863
fp8-overlap,3,200,2650.271232,13.25135616,13.343035,662.567808
fp8-overlap,7,200,3205.889028,16.02944514,16.246529,801.472257
