mode,physical_gpu,phase,seconds,share_percent
bf16-base,0,linear_gemm,2.503290332,54.504060111363756
bf16-base,0,vsa,0.6603224129999999,14.377178719928347
bf16-base,0,rdma_barrier,0.292923989,6.3778246176346665
bf16-base,0,rdma_other,0.0,0.0
bf16-base,0,pointwise,0.075589987,1.645818362576253
bf16-base,0,attention_other,0.000134304,0.0029241966845085063
bf16-base,0,communication_other,0.003295587,0.07175471005263681
bf16-base,0,layout_copy,0.197459202,4.299272872096851
bf16-base,0,memory_ops,0.009113066999999999,0.19841851551036366
bf16-base,0,other,0.13163453,2.866074399815609
bf16-base,0,concurrent_mixed,0.0,0.0
bf16-base,0,idle,0.666869963,14.51973831608076
bf16-base,0,sage_quantization,0.05221774,1.1369351782562487
bf16-base,4,linear_gemm,2.5213812520000003,54.897953132299165
bf16-base,4,vsa,0.662405032,14.422523516620139
bf16-base,4,rdma_barrier,0.285537653,6.217002160806382
bf16-base,4,rdma_other,0.0,0.0
bf16-base,4,pointwise,0.07563716100000001,1.6468454805652557
bf16-base,4,attention_other,0.000132128,0.002876818706298695
bf16-base,4,communication_other,0.00288839,0.0628888228315428
bf16-base,4,layout_copy,0.196203262,4.271927330758234
bf16-base,4,memory_ops,0.008823308,0.19210960209671626
bf16-base,4,other,0.12863196600000001,2.800699670143934
bf16-base,4,concurrent_mixed,0.0,0.0
bf16-base,4,idle,0.6591594780000001,14.351858173471808
bf16-base,4,sage_quantization,0.052051484,1.133315291700527
bf16-base,1,linear_gemm,2.468539254,53.747426004630555
bf16-base,1,vsa,0.660177205,14.374017110801558
bf16-base,1,rdma_barrier,0.330481288,7.195558484197797
bf16-base,1,rdma_other,0.0,0.0
bf16-base,1,pointwise,0.075545392,1.644847397071535
bf16-base,1,attention_other,0.00013472,0.0029332542391662646
bf16-base,1,communication_other,0.003768039,0.08204139229582699
bf16-base,1,layout_copy,0.198831849,4.32915947120336
bf16-base,1,memory_ops,0.008950102,0.19487028379209073
bf16-base,1,other,0.13157438500000002,2.864764864659621
bf16-base,1,concurrent_mixed,0.0,0.0
bf16-base,1,idle,0.662580234,14.426338184146937
bf16-base,1,sage_quantization,0.052268645999999995,1.1380435529615558
bf16-base,5,linear_gemm,2.4322728849999997,52.957799515553816
bf16-base,5,vsa,0.64825905,14.114523504233933
bf16-base,5,rdma_barrier,0.38682585199999997,8.422346869047669
bf16-base,5,rdma_other,0.0,0.0
bf16-base,5,pointwise,0.075448505,1.6427378795279624
bf16-base,5,attention_other,0.00012928,0.002814809293641736
bf16-base,5,communication_other,0.004513922,0.09828147893234755
bf16-base,5,layout_copy,0.197011023,4.28951468510416
bf16-base,5,memory_ops,0.008813352,0.19189283042803204
bf16-base,5,other,0.127796891,2.7825176089520416
bf16-base,5,concurrent_mixed,0.0,0.0
bf16-base,5,idle,0.65969147,14.36344121822539
bf16-base,5,sage_quantization,0.052088884,1.134129600701008
bf16-base,2,linear_gemm,2.4641491369999997,53.65184012799244
bf16-base,2,vsa,0.659051976,14.349517535873687
bf16-base,2,rdma_barrier,0.330211205,7.189677975701087
bf16-base,2,rdma_other,0.0,0.0
bf16-base,2,pointwise,0.07574305599999999,1.6491511290039174
bf16-base,2,attention_other,0.000137185,0.002986924605107066
bf16-base,2,communication_other,0.003717449,0.08093989784838473
bf16-base,2,layout_copy,0.19900469,4.332922732752882
bf16-base,2,memory_ops,0.009028268,0.19657218960309628
bf16-base,2,other,0.13175984,2.868802770426579
bf16-base,2,concurrent_mixed,0.0,0.0
bf16-base,2,idle,0.667810936,14.540226091030217
bf16-base,2,sage_quantization,0.052237372,1.1373626251625975
bf16-base,6,linear_gemm,2.480321833,54.003967719298466
bf16-base,6,vsa,0.647991644,14.108701281972364
bf16-base,6,rdma_barrier,0.3365185,7.327006507444125
bf16-base,6,rdma_other,0.0,0.0
bf16-base,6,pointwise,0.075724318,1.6487431471308958
bf16-base,6,attention_other,0.00012832,0.002793907244431525
bf16-base,6,communication_other,0.003716036,0.08090913264470345
bf16-base,6,layout_copy,0.196652288,4.281703959454759
bf16-base,6,memory_ops,0.008310501999999999,0.1809442935057877
bf16-base,6,other,0.127337265,2.7725101867954867
bf16-base,6,concurrent_mixed,0.0,0.0
bf16-base,6,idle,0.6641219129999999,14.459905111568135
bf16-base,6,sage_quantization,0.052028495,1.132814752940846
bf16-base,3,linear_gemm,2.5761505860000002,56.09044408488091
bf16-base,3,vsa,0.6717055249999999,14.625022852417244
bf16-base,3,rdma_barrier,0.20697538599999998,4.506468441119165
bf16-base,3,rdma_other,0.0,0.0
bf16-base,3,pointwise,0.075525119,1.6444059936927449
bf16-base,3,attention_other,0.00013689599999999998,0.002980632217376076
bf16-base,3,communication_other,0.0021096,0.045932253139438474
bf16-base,3,layout_copy,0.199065723,4.3342516023043896
bf16-base,3,memory_ops,0.0078848,0.17167549751319894
bf16-base,3,other,0.131662746,2.8666887458786454
bf16-base,3,concurrent_mixed,0.0,0.0
bf16-base,3,idle,0.669235949,14.571252853375208
bf16-base,3,sage_quantization,0.052398784,1.1408770434616793
bf16-base,7,linear_gemm,2.62756723,57.209937025622466
bf16-base,7,vsa,0.8012504760000001,17.445600915684288
bf16-base,7,rdma_barrier,0.0054994269999999994,0.11973884768954433
bf16-base,7,rdma_other,0.0,0.0
bf16-base,7,pointwise,0.076045692,1.6557404129255648
bf16-base,7,attention_other,0.000160672,0.003498306302815633
bf16-base,7,communication_other,0.0015140169999999999,0.03296464358239155
bf16-base,7,layout_copy,0.208484575,4.539327964812403
bf16-base,7,memory_ops,0.008556104,0.18629177797466917
bf16-base,7,other,0.144622526,3.1488616201635486
bf16-base,7,concurrent_mixed,0.0,0.0
bf16-base,7,idle,0.6648819109999999,14.476452523646948
bf16-base,7,sage_quantization,0.054268484,1.1815859615953577
bf16-overlap,0,linear_gemm,2.560991566,57.84725723719525
bf16-overlap,0,vsa,0.671174818,15.160386650009649
bf16-overlap,0,rdma_barrier,0.266128621,6.0112696197637705
bf16-overlap,0,rdma_other,0.0,0.0
bf16-overlap,0,pointwise,0.07730574,1.7461693693417397
bf16-overlap,0,attention_other,0.00013516800000000002,0.003053152603094987
