reference,candidate,stage,reference_s,candidate_s,delta_s,latency_reduction_percent,speedup,reference_share_percent,candidate_share_percent,share_delta_pp
bf16-base,bf16-overlap,Encoder,0.121881,0.122781,0.000899999999999998,-0.7384251852216472,0.9926698756322232,0.47341619731986795,0.4878973720462011,0.014481174726333146
bf16-base,bf16-overlap,DiT,18.948946,18.293431,-0.6555149999999976,3.459374468637977,1.0358333546069076,73.60243154010487,72.69298108509061,-0.9094504550142659
bf16-base,bf16-overlap,Decode,6.587505,6.661873,0.07436799999999977,-1.1289251393357569,0.9888367730816844,25.58751213827928,26.472421055420153,0.8849089171408728
bf16-base,bf16-overlap,Other request time,0.08666800000000308,0.08724833333333137,0.0005803333333282978,-0.6696050829928968,0.9933484880323027,0.33664012429599177,0.34670048744303555,0.010060363147043783
fp8-base,fp8-overlap,Encoder,0.122487,0.122626,0.00013900000000000023,-0.11348143068243832,0.9988664720369252,0.586052854021467,0.5977770916949676,0.011724237673500615
fp8-base,fp8-overlap,DiT,14.305261,13.830493,-0.4747679999999992,3.3188349377197612,1.0343276266435333,68.4451332514633,67.42087226401911,-1.024260987444194
fp8-base,fp8-overlap,Decode,6.382993,6.470316,0.08732300000000048,-1.3680572734452445,0.9865040594617016,30.54014927991579,31.541489413561695,1.001340133645904
fp8-base,fp8-overlap,Other request time,0.08959233333333216,0.09023166666666427,0.0006393333333321038,-0.7136027264224021,0.9929145348085618,0.42866461459944255,0.43986123072422095,0.011196616124778402
bf16-base,fp8-base,Encoder,0.121881,0.122487,0.0006059999999999954,-0.4972062913825681,0.9950525361875138,0.47341619731986795,0.586052854021467,0.11263665670159906
bf16-base,fp8-base,DiT,18.948946,14.305261,-4.643685,24.506297078476024,1.3246137906886144,73.60243154010487,68.4451332514633,-5.15729828864157
bf16-base,fp8-base,Decode,6.587505,6.382993,-0.20451200000000025,3.104544133173337,1.0320401416702165,25.58751213827928,30.54014927991579,4.952637141636512
bf16-base,fp8-base,Other request time,0.08666800000000308,0.08959233333333216,0.0029243333333290877,-3.3741788587817734,0.9673595582955856,0.33664012429599177,0.42866461459944255,0.09202449030345078
bf16-overlap,fp8-overlap,Encoder,0.122781,0.122626,-0.00015500000000000236,0.12624103077838456,1.0012640060019897,0.4878973720462011,0.5977770916949676,0.10987971964876653
bf16-overlap,fp8-overlap,DiT,18.293431,13.830493,-4.462938000000001,24.39639671748838,1.3226882801647057,72.69298108509061,67.42087226401911,-5.272108821071498
bf16-overlap,fp8-overlap,Decode,6.661873,6.470316,-0.19155699999999953,2.8754225726008165,1.0296055092208787,26.472421055420153,31.541489413561695,5.069068358141543
bf16-overlap,fp8-overlap,Other request time,0.08724833333333137,0.09023166666666427,0.0029833333333328937,-3.4193585359792555,0.9669369585696118,0.34670048744303555,0.43986123072422095,0.0931607432811854
bf16-base,fp8-overlap,Encoder,0.121881,0.122626,0.0007449999999999957,-0.611251958877923,0.9939246163130169,0.47341619731986795,0.5977770916949676,0.12436089437509967
bf16-base,fp8-overlap,DiT,18.948946,13.830493,-5.118452999999999,27.011808466813925,1.3700846383422485,73.60243154010487,67.42087226401911,-6.181559276085764
bf16-base,fp8-overlap,Decode,6.587505,6.470316,-0.11718899999999977,1.7789588015492908,1.0181117892850982,25.58751213827928,31.541489413561695,5.953977275282416
bf16-base,fp8-overlap,Other request time,0.08666800000000308,0.09023166666666427,0.0035636666666611916,-4.111859817534813,0.9605053658176772,0.33664012429599177,0.43986123072422095,0.10322110642822918
