mode,stage,seconds,share_percent
bf16-base,Encoder,0.121881,0.47341619731986795
bf16-base,DiT,18.948946,73.60243154010487
bf16-base,Decode,6.587505,25.58751213827928
bf16-base,Other request time,0.08666800000000308,0.33664012429599177
bf16-overlap,Encoder,0.122781,0.4878973720462011
bf16-overlap,DiT,18.293431,72.69298108509061
bf16-overlap,Decode,6.661873,26.472421055420153
bf16-overlap,Other request time,0.08724833333333137,0.34670048744303555
fp8-base,Encoder,0.122487,0.586052854021467
fp8-base,DiT,14.305261,68.4451332514633
fp8-base,Decode,6.382993,30.54014927991579
fp8-base,Other request time,0.08959233333333216,0.42866461459944255
fp8-overlap,Encoder,0.122626,0.5977770916949676
fp8-overlap,DiT,13.830493,67.42087226401911
fp8-overlap,Decode,6.470316,31.541489413561695
fp8-overlap,Other request time,0.09023166666666427,0.43986123072422095
