trace,range,count,median_ms,min_ms,max_ms,sum_across_ranges_ms
config_a_15s,h3.profile.request,8,15414.566384,15414.488546,15455.607629,123357.89944500002
config_a_15s,h3.profile.prepare_request,8,112.7587305,112.646552,112.847919,902.0440939999999
config_a_15s,h3.profile.encoder,8,112.251464,112.122961,112.423646,898.1468189999999
config_a_15s,h3.profile.dit,8,12655.7912585,12655.290167,12656.120692,101245.798545
config_a_15s,h3.profile.dit.step_01,8,4412.118928,4411.788623,4425.918259,35313.998187000005
config_a_15s,h3.profile.dit.step_02,8,2696.468068,2696.424429,2696.683225,21572.085232
config_a_15s,h3.profile.dit.step_03,8,2701.0437695,2700.98575,2701.193876,21608.492621999998
config_a_15s,h3.profile.dit.step_04,8,2702.1053065,2701.875035,2702.196859,21616.616063
config_a_15s,h3.profile.decode,8,2646.1056740000004,2645.675962,2686.839174,21209.133532
config_a_15s,h3.profile.rdma.release,8,0.007115,0.00665,0.008,0.057170000000000006
config_a_15s,h3.profile.video_vae,8,2645.957707,2587.933105,2646.271392,21109.89468
config_a_15s,h3.profile.audio_vae,1,57.625119,57.625119,57.625119,57.625119
config_a_15s,h3.profile.output.early_aac_encode,1,174.39759,174.39759,174.39759,174.39759
config_a_15s,h3.profile.output.submit_u8_d2h,22,0.206316,0.179727,0.766727,5.539473
config_a_15s,h3.profile.output.d2h_wait,22,26.914586999999997,0.02182,65.263757,695.37491
config_a_15s,h3.profile.output.video_encode_mux,22,25.050034,6.457859,33.550162,555.2294079999999
config_a_15s,h3.profile.output.finish,1,40.190649,40.190649,40.190649,40.190649
config_a_15s,h3.profile.output.audio_mux_finalize,1,8.310637,8.310637,8.310637,8.310637
bf16_prefetch_1088,h3.profile.prepare_request,1,598.199641,598.199641,598.199641,598.199641
bf16_prefetch_1088,h3.profile.encoder,8,279.2926895,263.316208,281.461678,2223.2100600000003
bf16_prefetch_1088,h3.profile.dit,8,4312.6284350000005,4312.278954,4312.872926,34500.971688000005
bf16_prefetch_1088,h3.profile.dit.step_01,8,1544.9519540000001,1541.071575,1546.857495,12356.835642999999
bf16_prefetch_1088,h3.profile.dit.step_02,8,913.8789804999999,913.693777,913.944505,7310.801826000001
bf16_prefetch_1088,h3.profile.dit.step_03,8,910.3864375,910.23536,910.420827,7282.8709929999995
bf16_prefetch_1088,h3.profile.dit.step_04,8,911.1555430000001,911.02082,911.282727,7289.219265999999
bf16_prefetch_1088,h3.profile.decode,8,623.323627,623.214668,644.200945,5007.569402000001
bf16_prefetch_1088,h3.profile.rdma.release,8,0.010875,0.00867,0.01345,0.08970999999999998
bf16_prefetch_1088,h3.profile.video_vae,8,623.257623,600.630871,623.476165,4963.620233000001
bf16_prefetch_1088,h3.profile.audio_vae,1,21.875056,21.875056,21.875056,21.875056
bf16_prefetch_1088,h3.profile.output.early_aac_encode,1,118.3069,118.3069,118.3069,118.3069
bf16_prefetch_1088,h3.profile.output.submit_u8_d2h,8,0.066314,0.05131,0.102339,0.541735
bf16_prefetch_1088,h3.profile.output.d2h_wait,8,10.173612,0.01765,45.458891,112.235344
bf16_prefetch_1088,h3.profile.output.video_encode_mux,8,14.2900075,3.965802,17.035404,107.767219
bf16_prefetch_1088,h3.profile.output.finish,1,19.8099,19.8099,19.8099,19.8099
bf16_prefetch_1088,h3.profile.output.audio_mux_finalize,1,2.024286,2.024286,2.024286,2.024286
bf16_resident_online_mx_1088,h3.profile.prepare_request,1,594.777873,594.777873,594.777873,594.777873
bf16_resident_online_mx_1088,h3.profile.encoder,8,277.1916125,259.752471,280.44441,2205.8123029999997
bf16_resident_online_mx_1088,h3.profile.dit,8,4349.857703,4349.722989,4350.079545,34799.122938
bf16_resident_online_mx_1088,h3.profile.dit.step_01,8,1464.5169525000001,1459.567703,1468.643153,11715.814994
bf16_resident_online_mx_1088,h3.profile.dit.step_02,8,952.3570275,952.311178,952.441336,7618.948157000001
bf16_resident_online_mx_1088,h3.profile.dit.step_03,8,950.035848,949.988529,950.123606,7600.356703
bf16_resident_online_mx_1088,h3.profile.dit.step_04,8,951.626262,951.519948,951.819915,7613.182984
bf16_resident_online_mx_1088,h3.profile.decode,8,615.5652895,615.469761,635.380139,4944.225356999999
bf16_resident_online_mx_1088,h3.profile.rdma.release,8,0.0067399999999999995,0.00559,0.0096,0.05668000000000001
bf16_resident_online_mx_1088,h3.profile.video_vae,8,615.5015605,593.608289,615.626379,4902.20479
bf16_resident_online_mx_1088,h3.profile.audio_vae,1,21.2737,21.2737,21.2737,21.2737
bf16_resident_online_mx_1088,h3.profile.output.early_aac_encode,1,117.146009,117.146009,117.146009,117.146009
bf16_resident_online_mx_1088,h3.profile.output.submit_u8_d2h,8,0.066484,0.05214,0.084838,0.526914
bf16_resident_online_mx_1088,h3.profile.output.d2h_wait,8,10.256335,0.01224,44.976609,110.186772
bf16_resident_online_mx_1088,h3.profile.output.video_encode_mux,8,13.795293999999998,3.690132,16.505503,103.39321000000001
bf16_resident_online_mx_1088,h3.profile.output.finish,1,18.780343,18.780343,18.780343,18.780343
bf16_resident_online_mx_1088,h3.profile.output.audio_mux_finalize,1,2.001344,2.001344,2.001344,2.001344
all_bf16_weights_1088,h3.profile.prepare_request,1,599.091659,599.091659,599.091659,599.091659
all_bf16_weights_1088,h3.profile.encoder,8,283.448723,259.714186,285.479062,2246.082923
all_bf16_weights_1088,h3.profile.dit,8,5953.568319,5953.224138,5953.85385,47628.391512
all_bf16_weights_1088,h3.profile.dit.step_01,8,1502.821767,1491.472038,1505.477698,12007.423461
